years,rank,manufacturer,sales
2015-01,1,上汽大众,177483
2015-01,2,一汽-大众,144203
2015-01,3,上汽通用五菱,129608
2015-01,4,北京现代,103319
2015-01,5,上汽通用别克,90510
2015-01,6,长安福特,83225
2015-01,7,长城汽车,77530
2015-01,8,进口标致,71632
2015-01,9,上汽通用雪佛兰,67563
2015-01,10,东风日产,67485
2015-01,11,长城汽车,64285
2015-01,12,长安汽车,60689
2015-01,13,吉利汽车,58977
2015-01,14,悦达起亚,56130
2015-01,15,一汽-大众奥迪,47328
2015-01,16,东风标致,44230
2015-01,17,长安汽车,42856
2015-01,18,比亚迪,42335
2015-01,19,奇瑞汽车,35397
2015-01,20,东风风行,35005
2015-01,21,广汽本田,33777
2015-01,22,上汽通用五菱,33216
2015-01,23,广汽丰田,33024
2015-01,24,江淮汽车,30706
2015-01,25,一汽丰田,29888
2015-01,26,华晨宝马,29793
2015-01,27,上汽大众斯柯达,28195
2015-01,28,东风雪铁龙,27079
2015-01,29,东风本田,24659
2015-01,30,东风小康,22324
2015-01,31,北汽幻速,21259
2015-01,32,众泰汽车,19612
2015-01,33,北京奔驰,19022
2015-01,34,一汽奔腾,18520
2015-01,35,长安铃木,17645
2015-01,36,北汽昌河,16971
2015-01,37,长安马自达,15357
2015-01,38,东风乘用车,14996
2015-01,39,一汽海马,11394
2015-01,40,广汽乘用车,10608
2015-01,41,华晨中华,10047
2015-01,42,天津一汽,9867
2015-01,43,东风日产,9523
2015-01,44,上汽集团,9321
2015-01,45,海马汽车,9056
2015-01,46,东风裕隆,9000
2015-01,47,力帆汽车,8750
2015-01,48,昌河铃木,8658
2015-01,49,东南汽车,7884
2015-01,50,长城汽车,7504
2015-01,51,北京汽车,7365
2015-01,52,华泰汽车,6458
2015-01,53,鑫源汽车,6320
2015-01,54,SWM斯威汽车,6320
2015-01,55,一汽马自达,6041
2015-01,56,广汽三菱,6007
2015-01,57,莲花汽车,5412
2015-01,58,东风小康,4483
2015-01,59,绵阳金杯,4160
2015-01,60,北汽昌河,3978
2015-01,61,一汽吉林,3752
2015-01,62,广汽菲克菲亚特,3554
2015-01,63,上汽通用凯迪拉克,2725
2015-01,64,上汽集团,2681
2015-01,65,凯翼汽车,2660
2015-01,66,江铃集团新能源,2280
2015-01,67,江铃轻卡,2253
2015-01,68,猎豹汽车,1988
2015-01,69,DS汽车,1714
2015-01,70,郑州日产,1385
2015-01,71,福田汽车,1356
2015-01,72,郑州日产,1354
2015-01,73,上汽大通,1275
2015-01,74,华晨雷诺,1164
2015-01,75,开瑞汽车,1135
2015-01,76,东风英菲尼迪,1088
2015-01,77,东南三菱,1003
2015-01,78,野马汽车,984
2015-01,79,观致汽车,703
2015-01,80,广汽本田,629
2015-01,81,广汽吉奥,628
2015-01,82,福汽新龙马,569
2015-01,83,曙光汽车,542
2015-01,84,北京越野,472
2015-01,85,知豆电动车,408
2015-01,86,中兴汽车,352
2015-01,87,一汽欧朗,340
2015-01,88,一汽红旗,283
2015-01,89,奇瑞威麟,182
2015-01,90,北京汽车制造厂,179
2015-01,91,福建奔驰,138
2015-01,92,陆风汽车,27
2015-01,93,哈飞汽车,9
2015-01,94,奇瑞瑞麒,4
2015-01,95,浙江永源,3
2015-02,1,上汽大众,141128
2015-02,2,上汽通用五菱,109552
2015-02,3,一汽-大众,81082
2015-02,4,北京现代,74002
2015-02,5,长安福特,60844
2015-02,6,上汽通用别克,59098
2015-02,7,长安汽车,58088
2015-02,8,上汽通用雪佛兰,50319
2015-02,9,长城汽车,44824
2015-02,10,悦达起亚,44524
2015-02,11,进口标致,43690
2015-02,12,长城汽车,38592
2015-02,13,长安汽车,38038
2015-02,14,比亚迪,37112
2015-02,15,吉利汽车,33233
2015-02,16,一汽-大众奥迪,30559
2015-02,17,东风日产,30554
2015-02,18,一汽丰田,30094
2015-02,19,上汽通用五菱,27842
2015-02,20,东风标致,26631
2015-02,21,江淮汽车,23786
2015-02,22,奇瑞汽车,22919
2015-02,23,广汽本田,21753
2015-02,24,广汽丰田,19936
2015-02,25,上汽大众斯柯达,19930
2015-02,26,东风小康,19371
2015-02,27,华晨宝马,18922
2015-02,28,东风雪铁龙,17059
2015-02,29,东风本田,15236
2015-02,30,东风风行,14098
2015-02,31,北汽幻速,13386
2015-02,32,众泰汽车,12768
2015-02,33,北京奔驰,12536
2015-02,34,长安马自达,12172
2015-02,35,北汽昌河,11190
2015-02,36,华晨中华,9625
2015-02,37,一汽海马,8388
2015-02,38,一汽奔腾,8355
2015-02,39,东风乘用车,7511
2015-02,40,广汽乘用车,7382
2015-02,41,力帆汽车,7237
2015-02,42,长安铃木,7189
2015-02,43,上汽集团,6998
2015-02,44,华泰汽车,6466
2015-02,45,昌河铃木,5747
2015-02,46,海马汽车,5427
2015-02,47,鑫源汽车,5406
2015-02,48,SWM斯威汽车,5406
2015-02,49,天津一汽,5175
2015-02,50,东风日产,4801
2015-02,51,东风小康,4775
2015-02,52,绵阳金杯,4050
2015-02,53,北京汽车,3894
2015-02,54,莲花汽车,3605
2015-02,55,上汽通用凯迪拉克,3593
2015-02,56,长城汽车,3542
2015-02,57,北汽昌河,3237
2015-02,58,广汽三菱,2611
2015-02,59,东南汽车,2367
2015-02,60,东风裕隆,2352
2015-02,61,一汽吉林,2150
2015-02,62,一汽马自达,2147
2015-02,63,江铃轻卡,2117
2015-02,64,江铃集团新能源,2111
2015-02,65,广汽菲克菲亚特,1971
2015-02,66,上汽集团,1878
2015-02,67,凯翼汽车,1434
2015-02,68,DS汽车,1401
2015-02,69,东南三菱,1021
2015-02,70,华晨雷诺,1008
2015-02,71,福田汽车,975
2015-02,72,东风英菲尼迪,818
2015-02,73,野马汽车,740
2015-02,74,观致汽车,721
2015-02,75,上汽大通,678
2015-02,76,郑州日产,560
2015-02,77,广汽吉奥,532
2015-02,78,曙光汽车,524
2015-02,79,福汽新龙马,487
2015-02,80,开瑞汽车,475
2015-02,81,知豆电动车,368
2015-02,82,中兴汽车,210
2015-02,83,一汽红旗,201
2015-02,84,一汽欧朗,169
2015-02,85,广汽本田,153
2015-02,86,郑州日产,105
2015-02,87,北京汽车制造厂,93
2015-02,88,福建奔驰,84
2015-02,89,北京越野,67
2015-02,90,奇瑞威麟,60
2015-02,91,猎豹汽车,38
2015-02,92,奇瑞瑞麒,3
2015-03,1,上汽通用五菱,143878
2015-03,2,上汽大众,130573
2015-03,3,北京现代,102553
2015-03,4,一汽-大众,93057
2015-03,5,上汽通用别克,78660
2015-03,6,长安福特,74418
2015-03,7,长安汽车,72441
2015-03,8,长城汽车,70126
2015-03,9,进口标致,64104
2015-03,10,东风日产,64056
2015-03,11,上汽通用雪佛兰,61024
2015-03,12,长城汽车,59394
2015-03,13,悦达起亚,54391
2015-03,14,吉利汽车,49446
2015-03,15,一汽丰田,46585
2015-03,16,比亚迪,45826
2015-03,17,一汽-大众奥迪,42822
2015-03,18,广汽本田,39954
2015-03,19,长安汽车,38723
2015-03,20,奇瑞汽车,38506
2015-03,21,东风标致,35038
2015-03,22,上汽通用五菱,34359
2015-03,23,江淮汽车,30064
2015-03,24,东风雪铁龙,29066
2015-03,25,广汽丰田,28561
2015-03,26,东风本田,28505
2015-03,27,东风风行,26668
2015-03,28,上汽大众斯柯达,26434
2015-03,29,东风小康,24412
2015-03,30,华晨宝马,22742
2015-03,31,众泰汽车,20120
2015-03,32,北汽昌河,19929
2015-03,33,北京奔驰,17377
2015-03,34,北汽幻速,17189
2015-03,35,长安马自达,14998
2015-03,36,一汽奔腾,14950
2015-03,37,长安铃木,13239
2015-03,38,华晨中华,12505
2015-03,39,北京汽车,12129
2015-03,40,一汽马自达,10539
2015-03,41,广汽乘用车,10025
2015-03,42,东风乘用车,9305
2015-03,43,东风日产,9099
2015-03,44,一汽海马,8701
2015-03,45,力帆汽车,7541
2015-03,46,上汽集团,7518
2015-03,47,昌河铃木,7456
2015-03,48,海马汽车,7234
2015-03,49,上汽通用凯迪拉克,6947
2015-03,50,东风小康,6759
2015-03,51,天津一汽,6577
2015-03,52,长城汽车,5924
2015-03,53,华泰汽车,5326
2015-03,54,广汽三菱,5038
2015-03,55,东风裕隆,4538
2015-03,56,东南汽车,4354
2015-03,57,绵阳金杯,4320
2015-03,58,一汽吉林,3984
2015-03,59,北汽昌河,3964
2015-03,60,广汽菲克菲亚特,3851
2015-03,61,凯翼汽车,3571
2015-03,62,鑫源汽车,2662
2015-03,63,SWM斯威汽车,2662
2015-03,64,DS汽车,2642
2015-03,65,江铃集团新能源,2382
2015-03,66,江铃轻卡,2382
2015-03,67,上汽集团,2263
2015-03,68,东风英菲尼迪,2036
2015-03,69,郑州日产,1435
2015-03,70,福田汽车,1216
2015-03,71,郑州日产,1208
2015-03,72,开瑞汽车,1169
2015-03,73,上汽大通,1162
2015-03,74,知豆电动车,1151
2015-03,75,野马汽车,1142
2015-03,76,华晨雷诺,1076
2015-03,77,观致汽车,1064
2015-03,78,奇瑞威麟,849
2015-03,79,曙光汽车,807
2015-03,80,福汽新龙马,663
2015-03,81,东南三菱,619
2015-03,82,北京越野,531
2015-03,83,福建奔驰,431
2015-03,84,一汽欧朗,411
2015-03,85,广汽吉奥,386
2015-03,86,一汽红旗,359
2015-03,87,广汽本田,261
2015-03,88,北京汽车制造厂,184
2015-03,89,腾势汽车,163
2015-03,90,猎豹汽车,62
2015-03,91,中兴汽车,52
2015-03,92,华晨华颂,11
2015-03,93,浙江永源,2
2015-04,1,上汽通用五菱,121083
2015-04,2,上汽大众,117765
2015-04,3,北京现代,90188
2015-04,4,一汽-大众,90126
2015-04,5,长安福特,72579
2015-04,6,东风日产,67958
2015-04,7,长城汽车,67759
2015-04,8,进口标致,63588
2015-04,9,上汽通用别克,61487
2015-04,10,长安汽车,60053
2015-04,11,长城汽车,56196
2015-04,12,悦达起亚,56006
2015-04,13,一汽丰田,51410
2015-04,14,广汽本田,48062
2015-04,15,上汽通用雪佛兰,43460
2015-04,16,一汽-大众奥迪,42084
2015-04,17,吉利汽车,40390
2015-04,18,东风标致,36580
2015-04,19,广汽丰田,36055
2015-04,20,比亚迪,32129
2015-04,21,上汽通用五菱,31211
2015-04,22,东风本田,30531
2015-04,23,奇瑞汽车,30413
2015-04,24,江淮汽车,27362
2015-04,25,东风雪铁龙,27009
2015-04,26,长安汽车,26575
2015-04,27,上汽大众斯柯达,22326
2015-04,28,华晨宝马,22310
2015-04,29,东风风行,22258
2015-04,30,众泰汽车,17673
2015-04,31,东风小康,17038
2015-04,32,北京奔驰,15776
2015-04,33,北汽昌河,14144
2015-04,34,一汽奔腾,13339
2015-04,35,长安马自达,12006
2015-04,36,北汽幻速,11609
2015-04,37,力帆汽车,10771
2015-04,38,东风日产,10749
2015-04,39,华晨中华,10450
2015-04,40,长安铃木,10232
2015-04,41,广汽乘用车,8609
2015-04,42,东风乘用车,8164
2015-04,43,一汽马自达,7664
2015-04,44,北京汽车,7420
2015-04,45,东风小康,7158
2015-04,46,一汽海马,6967
2015-04,47,天津一汽,6523
2015-04,48,上汽集团,5782
2015-04,49,上汽集团,5700
2015-04,50,长城汽车,5658
2015-04,51,华泰汽车,5519
2015-04,52,广汽三菱,5050
2015-04,53,东南汽车,4682
2015-04,54,海马汽车,4528
2015-04,55,东风裕隆,3963
2015-04,56,绵阳金杯,3915
2015-04,57,鑫源汽车,3868
2015-04,58,SWM斯威汽车,3868
2015-04,59,一汽吉林,3524
2015-04,60,广汽菲克菲亚特,3419
2015-04,61,上汽通用凯迪拉克,3349
2015-04,62,昌河铃木,3287
2015-04,63,郑州日产,2897
2015-04,64,东风英菲尼迪,2519
2015-04,65,DS汽车,2472
2015-04,66,北汽昌河,2279
2015-04,67,郑州日产,1882
2015-04,68,江铃集团新能源,1708
2015-04,69,奇瑞威麟,1674
2015-04,70,江铃轻卡,1537
2015-04,71,凯翼汽车,1503
2015-04,72,观致汽车,1301
2015-04,73,上汽大通,1189
2015-04,74,福田汽车,1154
2015-04,75,知豆电动车,1131
2015-04,76,野马汽车,1068
2015-04,77,华晨雷诺,1068
2015-04,78,开瑞汽车,937
2015-04,79,福汽新龙马,814
2015-04,80,郑州日产,771
2015-04,81,曙光汽车,632
2015-04,82,广汽吉奥,578
2015-04,83,北京越野,576
2015-04,84,福建奔驰,486
2015-04,85,东南三菱,451
2015-04,86,一汽红旗,307
2015-04,87,广汽本田,290
2015-04,88,北京汽车制造厂,190
2015-04,89,一汽欧朗,183
2015-04,90,陆风汽车,171
2015-04,91,腾势汽车,131
2015-04,92,猎豹汽车,68
2015-04,93,华晨华颂,60
2015-05,1,上汽大众,122076
2015-05,2,上汽通用五菱,94656
2015-05,3,一汽-大众,83480
2015-05,4,北京现代,80022
2015-05,5,上汽通用别克,72446
2015-05,6,东风日产,71697
2015-05,7,长安汽车,62801
2015-05,8,长安福特,61597
2015-05,9,进口标致,60634
2015-05,10,长城汽车,57745
2015-05,11,一汽丰田,55452
2015-05,12,长城汽车,51456
2015-05,13,广汽本田,50994
2015-05,14,悦达起亚,49005
2015-05,15,上汽通用雪佛兰,46228
2015-05,16,一汽-大众奥迪,41760
2015-05,17,吉利汽车,39079
2015-05,18,广汽丰田,37068
2015-05,19,比亚迪,34293
2015-05,20,东风标致,34121
2015-05,21,东风本田,32348
2015-05,22,上汽通用五菱,30277
2015-05,23,长安汽车,27624
2015-05,24,东风雪铁龙,26509
2015-05,25,江淮汽车,25704
2015-05,26,奇瑞汽车,25304
2015-05,27,华晨宝马,21995
2015-05,28,上汽大众斯柯达,21932
2015-05,29,东风风行,19100
2015-05,30,东风小康,16160
2015-05,31,北京奔驰,16107
2015-05,32,北汽幻速,15953
2015-05,33,北汽昌河,14625
2015-05,34,众泰汽车,13916
2015-05,35,一汽奔腾,11756
2015-05,36,力帆汽车,11461
2015-05,37,广汽乘用车,11069
2015-05,38,长安铃木,10632
2015-05,39,长安马自达,10519
2015-05,40,华晨中华,10055
2015-05,41,东风日产,9778
2015-05,42,一汽马自达,7413
2015-05,43,上汽集团,7237
2015-05,44,东风小康,7073
2015-05,45,东风乘用车,6451
2015-05,46,广汽三菱,6006
2015-05,47,海马汽车,5660
2015-05,48,一汽海马,5572
2015-05,49,天津一汽,5377
2015-05,50,上汽集团,5275
2015-05,51,北京汽车,4614
2015-05,52,东风裕隆,4252
2015-05,53,上汽通用凯迪拉克,4096
2015-05,54,东南汽车,4092
2015-05,55,华泰汽车,4003
2015-05,56,昌河铃木,3759
2015-05,57,DS汽车,3709
2015-05,58,鑫源汽车,3677
2015-05,59,SWM斯威汽车,3677
2015-05,60,绵阳金杯,3600
2015-05,61,长城汽车,2972
2015-05,62,广汽菲克菲亚特,2896
2015-05,63,东风英菲尼迪,2634
2015-05,64,郑州日产,2083
2015-05,65,北汽昌河,1931
2015-05,66,一汽吉林,1785
2015-05,67,凯翼汽车,1703
2015-05,68,上汽大通,1537
2015-05,69,野马汽车,1343
2015-05,70,江铃集团新能源,1229
2015-05,71,江铃轻卡,1195
2015-05,72,知豆电动车,1079
2015-05,73,观致汽车,1070
2015-05,74,广汽吉奥,1055
2015-05,75,华晨雷诺,924
2015-05,76,东南三菱,916
2015-05,77,郑州日产,881
2015-05,78,福田汽车,816
2015-05,79,奇瑞威麟,648
2015-05,80,郑州日产,638
2015-05,81,开瑞汽车,530
2015-05,82,福汽新龙马,489
2015-05,83,曙光汽车,437
2015-05,84,猎豹汽车,365
2015-05,85,广汽本田,268
2015-05,86,一汽红旗,258
2015-05,87,福建奔驰,244
2015-05,88,北京越野,243
2015-05,89,一汽欧朗,141
2015-05,90,腾势汽车,117
2015-05,91,北京汽车制造厂,53
2015-05,92,华晨华颂,49
2015-05,93,陆风汽车,34
2015-05,94,浙江永源,10
2015-06,1,上汽大众,112281
2015-06,2,上汽通用五菱,94896
2015-06,3,上汽通用别克,85018
2015-06,4,长安福特,75746
2015-06,5,东风日产,72843
2015-06,6,一汽-大众,72615
2015-06,7,长安汽车,60714
2015-06,8,北京现代,60192
2015-06,9,一汽丰田,56845
2015-06,10,上汽通用雪佛兰,48207
2015-06,11,进口标致,48138
2015-06,12,广汽本田,48104
2015-06,13,长城汽车,44639
2015-06,14,长城汽车,41289
2015-06,15,广汽丰田,38808
2015-06,16,悦达起亚,37505
2015-06,17,东风本田,36826
2015-06,18,比亚迪,35704
2015-06,19,一汽-大众奥迪,34982
2015-06,20,吉利汽车,34021
2015-06,21,东风标致,27129
2015-06,22,上汽通用五菱,26084
2015-06,23,华晨宝马,24028
2015-06,24,江淮汽车,23565
2015-06,25,北京奔驰,22216
2015-06,26,奇瑞汽车,21073
2015-06,27,东风雪铁龙,21009
2015-06,28,上汽大众斯柯达,18664
2015-06,29,长安汽车,15890
2015-06,30,华晨中华,15758
2015-06,31,长安马自达,13872
2015-06,32,东风风行,13371
2015-06,33,北汽幻速,13019
2015-06,34,北汽昌河,12534
2015-06,35,力帆汽车,12392
2015-06,36,众泰汽车,12013
2015-06,37,广汽乘用车,11338
2015-06,38,东风小康,11315
2015-06,39,东风日产,11069
2015-06,40,一汽奔腾,8304
2015-06,41,长安铃木,7789
2015-06,42,一汽海马,6977
2015-06,43,一汽马自达,6900
2015-06,44,上汽集团,6265
2015-06,45,广汽三菱,6018
2015-06,46,上汽集团,5737
2015-06,47,东风乘用车,5502
2015-06,48,鑫源汽车,5350
2015-06,49,SWM斯威汽车,5350
2015-06,50,华泰汽车,5274
2015-06,51,上汽通用凯迪拉克,4397
2015-06,52,北京汽车,4275
2015-06,53,东风小康,4259
2015-06,54,东风裕隆,4095
2015-06,55,天津一汽,3829
2015-06,56,绵阳金杯,3780
2015-06,57,昌河铃木,3528
2015-06,58,东南汽车,3489
2015-06,59,海马汽车,2786
2015-06,60,东风英菲尼迪,2380
2015-06,61,长城汽车,2129
2015-06,62,一汽吉林,1939
2015-06,63,北汽昌河,1924
2015-06,64,DS汽车,1820
2015-06,65,上汽大通,1744
2015-06,66,广汽菲克菲亚特,1480
2015-06,67,江铃集团新能源,1434
2015-06,68,江铃轻卡,1434
2015-06,69,凯翼汽车,1301
2015-06,70,野马汽车,1221
2015-06,71,开瑞汽车,999
2015-06,72,观致汽车,885
2015-06,73,福田汽车,835
2015-06,74,知豆电动车,776
2015-06,75,广汽吉奥,754
2015-06,76,奇瑞威麟,723
2015-06,77,华晨雷诺,715
2015-06,78,福建奔驰,687
2015-06,79,福汽新龙马,551
2015-06,80,一汽欧朗,439
2015-06,81,郑州日产,439
2015-06,82,曙光汽车,392
2015-06,83,一汽红旗,381
2015-06,84,广汽本田,304
2015-06,85,郑州日产,279
2015-06,86,北京汽车制造厂,223
2015-06,87,北京越野,214
2015-06,88,东南三菱,185
2015-06,89,郑州日产,163
2015-06,90,腾势汽车,104
2015-06,91,浙江永源,34
2015-06,92,华晨华颂,19
2015-06,93,猎豹汽车,4
2015-06,94,奇瑞瑞麒,1
2015-07,1,上汽大众,84797
2015-07,2,上汽通用五菱,73238
2015-07,3,一汽-大众,67480
2015-07,4,一汽丰田,62333
2015-07,5,上汽通用别克,61360
2015-07,6,东风日产,55035
2015-07,7,北京现代,54175
2015-07,8,长安福特,51789
2015-07,9,长安汽车,42279
2015-07,10,长城汽车,41810
2015-07,11,广汽本田,41703
2015-07,12,长城汽车,38851
2015-07,13,进口标致,37062
2015-07,14,上汽通用五菱,34260
2015-07,15,广汽丰田,34026
2015-07,16,一汽-大众奥迪,33378
2015-07,17,东风本田,30056
2015-07,18,悦达起亚,30008
2015-07,19,吉利汽车,29938
2015-07,20,上汽通用雪佛兰,29302
2015-07,21,比亚迪,24208
2015-07,22,东风标致,23055
2015-07,23,北京奔驰,22825
2015-07,24,江淮汽车,22749
2015-07,25,华晨宝马,22038
2015-07,26,奇瑞汽车,21138
2015-07,27,长安汽车,15583
2015-07,28,上汽大众斯柯达,14906
2015-07,29,东风雪铁龙,14007
2015-07,30,东风风行,13008
2015-07,31,长安马自达,12759
2015-07,32,华晨中华,12614
2015-07,33,广汽乘用车,12582
2015-07,34,北汽幻速,12561
2015-07,35,北汽昌河,10922
2015-07,36,东风小康,10229
2015-07,37,众泰汽车,10020
2015-07,38,力帆汽车,9455
2015-07,39,一汽奔腾,7138
2015-07,40,长安铃木,6222
2015-07,41,上汽集团,6154
2015-07,42,上汽集团,5892
2015-07,43,东风日产,5835
2015-07,44,一汽马自达,5804
2015-07,45,鑫源汽车,5651
2015-07,46,SWM斯威汽车,5651
2015-07,47,华泰汽车,5445
2015-07,48,东风小康,5008
2015-07,49,东风乘用车,4816
2015-07,50,一汽海马,4420
2015-07,51,上汽通用凯迪拉克,3923
2015-07,52,东风裕隆,3783
2015-07,53,绵阳金杯,3405
2015-07,54,广汽三菱,3048
2015-07,55,天津一汽,3008
2015-07,56,东南汽车,2867
2015-07,57,广汽菲克菲亚特,2603
2015-07,58,北京汽车,2273
2015-07,59,昌河铃木,2208
2015-07,60,东风英菲尼迪,2133
2015-07,61,一汽吉林,1996
2015-07,62,海马汽车,1932
2015-07,63,长城汽车,1879
2015-07,64,野马汽车,1793
2015-07,65,DS汽车,1743
2015-07,66,上汽大通,1655
2015-07,67,北汽昌河,1340
2015-07,68,观致汽车,1230
2015-07,69,凯翼汽车,1100
2015-07,70,福汽新龙马,957
2015-07,71,福田汽车,932
2015-07,72,郑州日产,894
2015-07,73,江铃集团新能源,831
2015-07,74,江铃轻卡,831
2015-07,75,广汽吉奥,741
2015-07,76,华晨雷诺,646
2015-07,77,郑州日产,632
2015-07,78,郑州日产,561
2015-07,79,奇瑞威麟,537
2015-07,80,一汽红旗,525
2015-07,81,曙光汽车,350
2015-07,82,福建奔驰,308
2015-07,83,东南三菱,299
2015-07,84,广汽本田,281
2015-07,85,北京汽车制造厂,229
2015-07,86,开瑞汽车,224
2015-07,87,知豆电动车,152
2015-07,88,腾势汽车,120
2015-07,89,北京越野,52
2015-07,90,一汽欧朗,36
2015-07,91,奇瑞瑞麒,2
2015-07,92,浙江永源,2
2015-08,1,上汽大众,110989
2015-08,2,上汽通用五菱,88225
2015-08,3,一汽-大众,88168
2015-08,4,上汽通用别克,79491
2015-08,5,北京现代,70146
2015-08,6,东风日产,64511
2015-08,7,长城汽车,51863
2015-08,8,长安汽车,50459
2015-08,9,长安福特,48593
2015-08,10,长城汽车,47260
2015-08,11,进口标致,46016
2015-08,12,上汽通用雪佛兰,43968
2015-08,13,广汽本田,42924
2015-08,14,一汽-大众奥迪,42753
2015-08,15,上汽通用五菱,40763
2015-08,16,吉利汽车,32708
2015-08,17,东风本田,31842
2015-08,18,广汽丰田,31045
2015-08,19,一汽丰田,27481
2015-08,20,东风标致,27007
2015-08,21,悦达起亚,26008
2015-08,22,北京奔驰,24987
2015-08,23,江淮汽车,24681
2015-08,24,华晨宝马,24048
2015-08,25,奇瑞汽车,23868
2015-08,26,比亚迪,19843
2015-08,27,东风雪铁龙,19009
2015-08,28,长安汽车,16726
2015-08,29,广汽乘用车,16012
2015-08,30,上汽大众斯柯达,15008
2015-08,31,东风风行,14809
2015-08,32,北汽幻速,13338
2015-08,33,众泰汽车,12308
2015-08,34,东风小康,11629
2015-08,35,华晨中华,10712
2015-08,36,长安马自达,10592
2015-08,37,东风日产,9203
2015-08,38,北汽昌河,8797
2015-08,39,力帆汽车,8478
2015-08,40,一汽海马,8109
2015-08,41,一汽奔腾,7610
2015-08,42,长安铃木,6760
2015-08,43,上汽集团,6377
2015-08,44,东风乘用车,6082
2015-08,45,鑫源汽车,5677
2015-08,46,SWM斯威汽车,5677
2015-08,47,北京汽车,5251
2015-08,48,一汽马自达,5095
2015-08,49,华泰汽车,5030
2015-08,50,东风小康,4997
2015-08,51,上汽集团,4994
2015-08,52,海马汽车,4673
2015-08,53,东风裕隆,4465
2015-08,54,上汽通用凯迪拉克,3876
2015-08,55,东南汽车,3505
2015-08,56,绵阳金杯,3490
2015-08,57,天津一汽,2685
2015-08,58,长城汽车,2614
2015-08,59,一汽吉林,2363
2015-08,60,昌河铃木,2158
2015-08,61,广汽菲克菲亚特,2112
2015-08,62,东风英菲尼迪,1912
2015-08,63,DS汽车,1622
2015-08,64,凯翼汽车,1620
2015-08,65,广汽三菱,1500
2015-08,66,江铃集团新能源,1424
2015-08,67,江铃轻卡,1424
2015-08,68,上汽大通,1342
2015-08,69,北汽昌河,1317
2015-08,70,福田汽车,1102
2015-08,71,观致汽车,1037
2015-08,72,野马汽车,983
2015-08,73,华晨雷诺,899
2015-08,74,福汽新龙马,803
2015-08,75,郑州日产,783
2015-08,76,知豆电动车,695
2015-08,77,郑州日产,670
2015-08,78,郑州日产,413
2015-08,79,腾势汽车,391
2015-08,80,奇瑞威麟,383
2015-08,81,开瑞汽车,373
2015-08,82,广汽吉奥,364
2015-08,83,北京越野,305
2015-08,84,曙光汽车,302
2015-08,85,广汽本田,278
2015-08,86,福建奔驰,264
2015-08,87,一汽红旗,211
2015-08,88,东南三菱,200
2015-08,89,北京汽车制造厂,142
2015-08,90,浙江永源,83
2015-08,91,一汽欧朗,65
2015-09,1,上汽大众,121281
2015-09,2,上汽通用别克,97437
2015-09,3,一汽-大众,96591
2015-09,4,上汽通用五菱,94303
2015-09,5,北京现代,90108
2015-09,6,东风日产,76672
2015-09,7,长安汽车,65549
2015-09,8,长安福特,64685
2015-09,9,进口标致,59637
2015-09,10,长城汽车,58642
2015-09,11,上汽通用雪佛兰,56844
2015-09,12,一汽丰田,53906
2015-09,13,长城汽车,52081
2015-09,14,广汽本田,49727
2015-09,15,一汽-大众奥迪,49672
2015-09,16,上汽通用五菱,48059
2015-09,17,吉利汽车,43867
2015-09,18,悦达起亚,42194
2015-09,19,东风本田,39804
2015-09,20,东风标致,33379
2015-09,21,广汽丰田,33014
2015-09,22,比亚迪,30511
2015-09,23,江淮汽车,29379
2015-09,24,东风雪铁龙,26258
2015-09,25,华晨宝马,25801
2015-09,26,奇瑞汽车,25355
2015-09,27,北京奔驰,24437
2015-09,28,长安汽车,24089
2015-09,29,上汽大众斯柯达,23992
2015-09,30,广汽乘用车,22167
2015-09,31,北汽幻速,16806
2015-09,32,东风风行,16320
2015-09,33,众泰汽车,15457
2015-09,34,力帆汽车,15445
2015-09,35,东风小康,14369
2015-09,36,北京汽车,13921
2015-09,37,长安马自达,13632
2015-09,38,北汽昌河,13444
2015-09,39,一汽奔腾,12623
2015-09,40,华晨中华,10332
2015-09,41,东风乘用车,9604
2015-09,42,东风日产,9455
2015-09,43,一汽海马,9443
2015-09,44,长安铃木,8152
2015-09,45,鑫源汽车,7918
2015-09,46,SWM斯威汽车,7918
2015-09,47,上汽集团,7035
2015-09,48,一汽马自达,6809
2015-09,49,东南汽车,6058
2015-09,50,华泰汽车,5930
2015-09,51,东风裕隆,5638
2015-09,52,上汽集团,5595
2015-09,53,上汽通用凯迪拉克,4935
2015-09,54,海马汽车,4349
2015-09,55,天津一汽,3759
2015-09,56,长城汽车,3664
2015-09,57,东风小康,3654
2015-09,58,一汽吉林,3502
2015-09,59,广汽三菱,3101
2015-09,60,昌河铃木,3031
2015-09,61,中国重汽VGV,2795
2015-09,62,东风英菲尼迪,2391
2015-09,63,DS汽车,2306
2015-09,64,野马汽车,2187
2015-09,65,广汽菲克菲亚特,2100
2015-09,66,凯翼汽车,2093
2015-09,67,绵阳金杯,1875
2015-09,68,江铃集团新能源,1827
2015-09,69,江铃轻卡,1827
2015-09,70,上汽大通,1772
2015-09,71,北汽昌河,1678
2015-09,72,观致汽车,1400
2015-09,73,福田汽车,1247
2015-09,74,郑州日产,1135
2015-09,75,一汽红旗,1041
2015-09,76,华晨雷诺,902
2015-09,77,郑州日产,798
2015-09,78,福汽新龙马,642
2015-09,79,华晨华颂,621
2015-09,80,福建奔驰,467
2015-09,81,郑州日产,457
2015-09,82,奇瑞威麟,406
2015-09,83,浙江永源,327
