year,rank,logo,manufacturer,sales
2015,82,https://i.img16888.com/dealer/flogo/127154.gif,广汽菲克Jeep,8007
2015,83,https://i.img16888.com/dealer/flogo/57646.gif,开瑞汽车,7019
2015,84,https://i.img16888.com/dealer/flogo/57602.gif,广汽吉奥,6896
2015,85,https://i.img16888.com/dealer/flogo/57971.gif,奇瑞威麟,6405
2015,86,https://i.img16888.com/dealer/flogo/57910.gif,东南三菱,6080
2015,87,https://i.img16888.com/dealer/flogo/99926.gif,福建奔驰,5081
2015,88,https://i.img16888.com/dealer/flogo/57585.gif,一汽红旗,5037
2015,89,https://i.img16888.com/dealer/flogo/126067.gif,江铃福特,5005
2015,90,https://i.img16888.com/dealer/flogo/57599.gif,曙光汽车,4767
2015,91,https://i.img16888.com/dealer/flogo/57273.gif,北京越野,3702
2015,92,https://i.img16888.com/dealer/flogo/124668.gif,广汽本田,3514
2015,93,https://i.img16888.com/dealer/flogo/126363.gif,腾势汽车,3050
2015,94,https://i.img16888.com/dealer/flogo/57488.gif,浙江永源,2714
2015,95,https://i.img16888.com/dealer/flogo/57397.gif,猎豹汽车,2525
2015,96,https://i.img16888.com/dealer/flogo/126100.gif,一汽欧朗,1941
2015,97,https://i.img16888.com/dealer/flogo/126368.gif,北京汽车制造厂,1615
2015,98,https://i.img16888.com/dealer/flogo/58083.gif,中兴汽车,614
2015,99,https://i.img16888.com/dealer/flogo/126664.gif,江西五十铃,463
2015,100,https://i.img16888.com/dealer/flogo/57750.gif,陆风汽车,232
2015,101,https://i.img16888.com/dealer/flogo/57896.gif,奇瑞瑞麒,11
2015,102,https://i.img16888.com/dealer/flogo/57567.gif,哈飞汽车,9
2016,1,https://i.img16888.com/dealer/flogo/57412.gif,上汽大众,1670122
2016,2,https://i.img16888.com/dealer/flogo/57420.gif,一汽-大众,1299228
2016,3,https://i.img16888.com/dealer/flogo/57355.gif,上汽通用别克,1229805
2016,4,https://i.img16888.com/dealer/flogo/58002.gif,北京现代,1136079
2016,5,https://i.img16888.com/dealer/flogo/125977.gif,上汽通用五菱,1121889
2016,6,https://i.img16888.com/dealer/flogo/57865.gif,东风日产,1003520
2016,7,https://i.img16888.com/dealer/flogo/57535.gif,长安福特,943986
2016,8,https://i.img16888.com/dealer/flogo/126027.gif,长城汽车,938019
2016,9,https://i.img16888.com/dealer/flogo/127629.gif,长城汽车,830222
2016,10,https://i.img16888.com/dealer/flogo/57605.gif,吉利汽车,767177
2016,11,https://i.img16888.com/dealer/flogo/125810.gif,上汽通用五菱,760559
2016,12,https://i.img16888.com/dealer/flogo/57379.gif,长安汽车,760260
2016,13,https://i.img16888.com/dealer/flogo/57839.gif,悦达起亚,647346
2016,14,https://i.img16888.com/dealer/flogo/57505.gif,一汽丰田,642373
2016,15,https://i.img16888.com/dealer/flogo/57310.gif,广汽本田,627760
2016,16,https://i.img16888.com/dealer/flogo/57306.gif,东风本田,570077
2016,17,https://i.img16888.com/dealer/flogo/57230.gif,一汽-大众奥迪,536289
2016,18,https://i.img16888.com/dealer/flogo/57342.gif,进口标致,518788
2016,19,https://i.img16888.com/dealer/flogo/57329.gif,比亚迪,489017
2016,20,https://i.img16888.com/dealer/flogo/57824.gif,奇瑞汽车,458835
2016,21,https://i.img16888.com/dealer/flogo/58027.gif,上汽通用雪佛兰,446296
2016,22,https://i.img16888.com/dealer/flogo/57501.gif,广汽丰田,426288
2016,23,https://i.img16888.com/dealer/flogo/126293.gif,长安汽车,415801
2016,24,https://i.img16888.com/dealer/flogo/57564.gif,广汽乘用车,378117
2016,25,https://i.img16888.com/dealer/flogo/57621.gif,江淮汽车,363627
2016,26,https://i.img16888.com/dealer/flogo/57339.gif,东风标致,349356
2016,27,https://i.img16888.com/dealer/flogo/57955.gif,上汽大众斯柯达,330088
2016,28,https://i.img16888.com/dealer/flogo/58086.gif,众泰汽车,323681
2016,29,https://i.img16888.com/dealer/flogo/57280.gif,北京奔驰,317069
2016,30,https://i.img16888.com/dealer/flogo/57249.gif,华晨宝马,303208
2016,31,https://i.img16888.com/dealer/flogo/126547.gif,北汽幻速,271452
2016,32,https://i.img16888.com/dealer/flogo/57468.gif,东风风行,261300
2016,33,https://i.img16888.com/dealer/flogo/58045.gif,东风雪铁龙,248508
2016,34,https://i.img16888.com/dealer/flogo/126170.gif,北京汽车,242882
2016,35,https://i.img16888.com/dealer/flogo/57892.gif,上汽集团,241326
2016,36,https://i.img16888.com/dealer/flogo/127365.gif,东风小康,208866
2016,37,https://i.img16888.com/dealer/flogo/57773.gif,长安马自达,189640
2016,38,https://i.img16888.com/dealer/flogo/126180.gif,北汽昌河,182729
2016,39,https://i.img16888.com/dealer/flogo/58075.gif,华晨中华,160007
2016,40,https://i.img16888.com/dealer/flogo/57475.gif,东风乘用车,153507
2016,41,https://i.img16888.com/dealer/flogo/101445.gif,一汽海马,153411
2016,42,https://i.img16888.com/dealer/flogo/127154.gif,广汽菲克Jeep,133391
2016,43,https://i.img16888.com/dealer/flogo/126912.gif,鑫源汽车,124523
2016,44,https://i.img16888.com/dealer/flogo/127718.gif,SWM斯威汽车,124523
2016,45,https://i.img16888.com/dealer/flogo/57734.gif,长安铃木,115330
2016,46,https://i.img16888.com/dealer/flogo/126074.gif,东风日产,114383
2016,47,https://i.img16888.com/dealer/flogo/57652.gif,上汽通用凯迪拉克,111532
2016,48,https://i.img16888.com/dealer/flogo/124668.gif,广汽本田,109235
2016,49,https://i.img16888.com/dealer/flogo/57478.gif,东南汽车,100859
2016,50,https://i.img16888.com/dealer/flogo/57711.gif,力帆汽车,100589
2016,51,https://i.img16888.com/dealer/flogo/57302.gif,一汽奔腾,95630
2016,52,https://i.img16888.com/dealer/flogo/57766.gif,上汽集团,80391
2016,53,https://i.img16888.com/dealer/flogo/57777.gif,一汽马自达,78926
2016,54,https://i.img16888.com/dealer/flogo/57397.gif,猎豹汽车,76499
2016,55,https://i.img16888.com/dealer/flogo/57595.gif,华泰汽车,73029
2016,56,https://i.img16888.com/dealer/flogo/57572.gif,海马汽车,62436
2016,57,https://i.img16888.com/dealer/flogo/58065.gif,一汽吉林,61052
2016,58,https://i.img16888.com/dealer/flogo/57376.gif,北汽昌河,60623
2016,59,https://i.img16888.com/dealer/flogo/126149.gif,广汽三菱,55888
2016,60,https://i.img16888.com/dealer/flogo/126336.gif,东风小康,51254
2016,61,https://i.img16888.com/dealer/flogo/126779.gif,凯翼汽车,43025
2016,62,https://i.img16888.com/dealer/flogo/124947.gif,江铃轻卡,41308
2016,63,https://i.img16888.com/dealer/flogo/127753.gif,江铃集团新能源,41308
2016,64,https://i.img16888.com/dealer/flogo/125803.gif,东风裕隆,40499
2016,65,https://i.img16888.com/dealer/flogo/126699.gif,奇瑞捷豹路虎,39316
2016,66,https://i.img16888.com/dealer/flogo/57405.gif,野马汽车,38993
2016,67,https://i.img16888.com/dealer/flogo/57965.gif,天津一汽,36783
2016,68,https://i.img16888.com/dealer/flogo/57739.gif,昌河铃木,36273
2016,69,https://i.img16888.com/dealer/flogo/126519.gif,中国重汽VGV,34324
2016,70,https://i.img16888.com/dealer/flogo/57385.gif,长城汽车,30831
2016,71,https://i.img16888.com/dealer/flogo/127010.gif,绵阳金杯,30215
2016,72,https://i.img16888.com/dealer/flogo/126503.gif,沃尔沃亚太,27808
2016,73,https://i.img16888.com/dealer/flogo/57273.gif,北京越野,27284
2016,74,https://i.img16888.com/dealer/flogo/127170.gif,东风雷诺,25612
2016,75,https://i.img16888.com/dealer/flogo/57553.gif,福田汽车,25332
2016,76,https://i.img16888.com/dealer/flogo/126158.gif,观致汽车,24188
2016,77,https://i.img16888.com/dealer/flogo/127042.gif,知豆电动车,23991
2016,78,https://i.img16888.com/dealer/flogo/127562.gif,奇瑞捷豹路虎,22730
2016,79,https://i.img16888.com/dealer/flogo/126901.gif,东风英菲尼迪,21521
2016,80,https://i.img16888.com/dealer/flogo/126164.gif,上汽大通,18981
2016,81,https://i.img16888.com/dealer/flogo/126452.gif,DS汽车,16123
2016,82,https://i.img16888.com/dealer/flogo/57585.gif,一汽红旗,15042
2016,83,https://i.img16888.com/dealer/flogo/57637.gif,华晨雷诺,13931
2016,84,https://i.img16888.com/dealer/flogo/126108.gif,广汽菲克菲亚特,13049
2016,85,https://i.img16888.com/dealer/flogo/57874.gif,郑州日产,12087
2016,86,https://i.img16888.com/dealer/flogo/57646.gif,开瑞汽车,11938
2016,87,https://i.img16888.com/dealer/flogo/126389.gif,郑州日产,10785
2016,88,https://i.img16888.com/dealer/flogo/99926.gif,福建奔驰,10617
2016,89,https://i.img16888.com/dealer/flogo/127499.gif,郑州日产,7590
2016,90,https://i.img16888.com/dealer/flogo/126067.gif,江铃福特,7407
2016,91,https://i.img16888.com/dealer/flogo/127361.gif,广汽讴歌,6842
2016,92,https://i.img16888.com/dealer/flogo/126529.gif,福汽新龙马,5863
2016,93,https://i.img16888.com/dealer/flogo/127131.gif,宝沃汽车,5556
2016,94,https://i.img16888.com/dealer/flogo/126760.gif,华晨华颂,4529
2016,95,https://i.img16888.com/dealer/flogo/126811.gif,北汽新能源,4128
2016,96,https://i.img16888.com/dealer/flogo/127636.gif,比速汽车,3885
2016,97,https://i.img16888.com/dealer/flogo/57910.gif,东南三菱,2701
2016,98,https://i.img16888.com/dealer/flogo/126363.gif,腾势汽车,2287
2016,99,https://i.img16888.com/dealer/flogo/127021.gif,康迪电动汽车集团,2065
2016,100,https://i.img16888.com/dealer/flogo/126664.gif,江西五十铃,1806
2016,101,https://i.img16888.com/dealer/flogo/57971.gif,奇瑞威麟,1076
2016,102,https://i.img16888.com/dealer/flogo/126368.gif,北京汽车制造厂,885
2016,103,https://i.img16888.com/dealer/flogo/57602.gif,广汽吉奥,880
2016,104,https://i.img16888.com/dealer/flogo/57488.gif,浙江永源,514
2016,105,https://i.img16888.com/dealer/flogo/126100.gif,一汽欧朗,413
2016,106,https://i.img16888.com/dealer/flogo/57599.gif,曙光汽车,50
2016,107,https://i.img16888.com/dealer/flogo/58083.gif,中兴汽车,2
2016,108,https://i.img16888.com/dealer/flogo/57896.gif,奇瑞瑞麒,1
2017,1,https://i.img16888.com/dealer/flogo/57412.gif,上汽大众,1749240
2017,2,https://i.img16888.com/dealer/flogo/57420.gif,一汽-大众,1389743
2017,3,https://i.img16888.com/dealer/flogo/57605.gif,吉利汽车,1247516
2017,4,https://i.img16888.com/dealer/flogo/57355.gif,上汽通用别克,1173900
2017,5,https://i.img16888.com/dealer/flogo/57865.gif,东风日产,1116739
2017,6,https://i.img16888.com/dealer/flogo/125810.gif,上汽通用五菱,1016232
2017,7,https://i.img16888.com/dealer/flogo/125977.gif,上汽通用五菱,922405
2017,8,https://i.img16888.com/dealer/flogo/126027.gif,长城汽车,850156
2017,9,https://i.img16888.com/dealer/flogo/57535.gif,长安福特,832919
2017,10,https://i.img16888.com/dealer/flogo/57379.gif,长安汽车,813207
2017,11,https://i.img16888.com/dealer/flogo/58002.gif,北京现代,781083
2017,12,https://i.img16888.com/dealer/flogo/57306.gif,东风本田,709452
