年份,排名,品牌LOGO,国别,品牌名称,销量,占品牌份额
2016,42,https://i.img16888.com/carlogo75/57710.gif,中国,力帆汽车,100589,0.42%
2016,43,https://i.img16888.com/carlogo75/57301.gif,中国,奔腾,95630,0.4%
2016,44,https://i.img16888.com/carlogo75/58064.gif,中国,一汽,86567,0.36%
2016,45,https://i.img16888.com/carlogo75/57765.gif,中国,名爵,80391,0.34%
2016,46,https://i.img16888.com/carlogo75/57396.gif,中国,猎豹汽车,76499,0.32%
2016,47,https://i.img16888.com/carlogo75/57594.gif,中国,华泰,73029,0.31%
2016,48,https://i.img16888.com/carlogo75/57375.gif,中国,北汽昌河,60623,0.25%
2016,49,https://i.img16888.com/carlogo75/127364.gif,中国,东风风光,60057,0.25%
2016,50,https://i.img16888.com/carlogo75/57909.gif,日本,三菱,58491,0.25%
2016,51,https://i.img16888.com/carlogo75/126335.gif,中国,东风小康,51254,0.21%
2016,52,https://i.img16888.com/carlogo75/126778.gif,中国,凯翼,43025,0.18%
2016,53,https://i.img16888.com/carlogo75/124944.gif,中国,江铃,41308,0.17%
2016,54,https://i.img16888.com/carlogo75/125802.gif,中国,纳智捷,40500,0.17%
2016,55,https://i.img16888.com/carlogo75/57756.gif,英国,路虎,39316,0.16%
2016,56,https://i.img16888.com/carlogo75/57404.gif,中国,野马汽车,38293,0.16%
2016,57,https://i.img16888.com/carlogo75/126518.gif,中国,中国重汽,34324,0.14%
2016,58,https://i.img16888.com/carlogo75/57272.gif,中国,北京,31566,0.13%
2016,59,https://i.img16888.com/carlogo75/57384.gif,中国,长城,30831,0.13%
2016,60,https://i.img16888.com/carlogo75/57979.gif,瑞典,沃尔沃,27808,0.12%
2016,61,https://i.img16888.com/carlogo75/126157.gif,中国,观致,26662,0.11%
2016,62,https://i.img16888.com/carlogo75/57699.gif,法国,雷诺,25612,0.11%
2016,63,https://i.img16888.com/carlogo75/57552.gif,中国,福田,25332,0.11%
2016,64,https://i.img16888.com/carlogo75/58067.gif,日本,英菲尼迪,21521,0.09%
2016,65,https://i.img16888.com/carlogo75/126162.gif,中国,上汽大通MAXUS,18981,0.08%
2016,66,https://i.img16888.com/carlogo75/126042.gif,法国,DS,16123,0.07%
2016,67,https://i.img16888.com/carlogo75/57490.gif,意大利,菲亚特,13049,0.05%
2016,68,https://i.img16888.com/carlogo75/57645.gif,中国,开瑞,11938,0.05%
2016,69,https://i.img16888.com/carlogo75/127041.gif,中国,知豆,9091,0.04%
2016,70,https://i.img16888.com/carlogo75/126500.gif,中国,东风风度,7590,0.03%
2016,71,https://i.img16888.com/carlogo75/57802.gif,日本,讴歌,6842,0.03%
2016,72,https://i.img16888.com/carlogo75/126528.gif,中国,福汽启腾,5863,0.02%
2016,73,https://i.img16888.com/carlogo75/57631.gif,英国,捷豹,5644,0.02%
2016,74,https://i.img16888.com/carlogo75/127130.gif,德国,宝沃,5556,0.02%
2016,75,https://i.img16888.com/carlogo75/57584.gif,中国,红旗,4815,0.02%
2016,76,https://i.img16888.com/carlogo75/126759.gif,中国,华颂,4529,0.02%
2016,77,https://i.img16888.com/carlogo75/57464.gif,中国,东风,4201,0.02%
2016,78,https://i.img16888.com/carlogo75/124659.gif,中国,理念,4173,0.02%
2016,79,https://i.img16888.com/carlogo75/126810.gif,中国,北汽新能源,4128,0.02%
2016,80,https://i.img16888.com/carlogo75/127635.gif,中国,比速汽车,3885,0.02%
2016,81,https://i.img16888.com/carlogo75/126360.gif,中国,腾势,2287,0.01%
2016,82,https://i.img16888.com/carlogo75/127020.gif,中国,全球鹰,2065,0.01%
2016,83,https://i.img16888.com/carlogo75/126663.gif,日本,五十铃,1806,0.01%
2016,84,https://i.img16888.com/carlogo75/57970.gif,中国,威麟,1348,0.01%
2016,85,https://i.img16888.com/carlogo75/126283.gif,中国,北汽制造,885,-
2016,86,https://i.img16888.com/carlogo75/57601.gif,中国,广汽吉奥,878,-
2016,87,https://i.img16888.com/carlogo75/57487.gif,中国,永源,514,-
2016,88,https://i.img16888.com/carlogo75/126113.gif,中国,欧朗,205,-
2016,89,https://i.img16888.com/carlogo75/57895.gif,中国,瑞麒,170,-
2016,90,https://i.img16888.com/carlogo75/57598.gif,中国,黄海,50,-
2016,91,https://i.img16888.com/carlogo75/58082.gif,中国,中兴,2,-
2017,1,https://i.img16888.com/carlogo75/57411.gif,德国,大众,3115228,12.7%
2017,2,https://i.img16888.com/carlogo75/57305.gif,日本,本田,1394328,5.69%
2017,3,https://i.img16888.com/carlogo75/57354.gif,美国,别克,1260304,5.14%
2017,4,https://i.img16888.com/carlogo75/57604.gif,中国,吉利汽车,1247516,5.09%
2017,5,https://i.img16888.com/carlogo75/57500.gif,日本,丰田,1131618,4.61%
2017,6,https://i.img16888.com/carlogo75/57864.gif,日本,日产,1117538,4.56%
2017,7,https://i.img16888.com/carlogo75/125808.gif,中国,宝骏,1016232,4.14%
2017,8,https://i.img16888.com/carlogo75/125976.gif,中国,五菱汽车,875478,3.57%
2017,9,https://i.img16888.com/carlogo75/126026.gif,中国,哈弗,851855,3.47%
2017,10,https://i.img16888.com/carlogo75/57534.gif,美国,福特,832919,3.4%
2017,11,https://i.img16888.com/carlogo75/58001.gif,韩国,现代,781503,3.19%
2017,12,https://i.img16888.com/carlogo75/57378.gif,中国,长安,771549,3.15%
2017,13,https://i.img16888.com/carlogo75/58024.gif,美国,雪佛兰,601724,2.45%
2017,14,https://i.img16888.com/carlogo75/57229.gif,德国,奥迪,552004,2.25%
2017,15,https://i.img16888.com/carlogo75/57563.gif,中国,广汽传祺,500980,2.04%
2017,16,https://i.img16888.com/carlogo75/57279.gif,德国,奔驰,436748,1.78%
2017,17,https://i.img16888.com/carlogo75/57328.gif,中国,比亚迪,404788,1.65%
2017,18,https://i.img16888.com/carlogo75/57823.gif,中国,奇瑞,402433,1.64%
2017,19,https://i.img16888.com/carlogo75/57248.gif,德国,宝马,385557,1.57%
2017,20,https://i.img16888.com/carlogo75/57891.gif,中国,荣威,374826,1.53%
2017,21,https://i.img16888.com/carlogo75/57838.gif,韩国,起亚,359528,1.47%
2017,22,https://i.img16888.com/carlogo75/126292.gif,中国,长安欧尚,356451,1.45%
2017,23,https://i.img16888.com/carlogo75/57954.gif,捷克,斯柯达,324986,1.33%
2017,24,https://i.img16888.com/carlogo75/57772.gif,日本,马自达,316243,1.29%
2017,25,https://i.img16888.com/carlogo75/58085.gif,中国,众泰,312974,1.28%
2017,26,https://i.img16888.com/carlogo75/127364.gif,中国,东风风光,266131,1.09%
2017,27,https://i.img16888.com/carlogo75/126546.gif,中国,北汽幻速,255259,1.04%
2017,28,https://i.img16888.com/carlogo75/57338.gif,法国,标致,241114,0.98%
2017,29,https://i.img16888.com/carlogo75/126388.gif,中国,东风风行,230378,0.94%
2017,30,https://i.img16888.com/carlogo75/57620.gif,中国,江汽集团,216623,0.88%
2017,31,https://i.img16888.com/carlogo75/57612.gif,美国,Jeep,202901,0.83%
2017,32,https://i.img16888.com/carlogo75/57651.gif,美国,凯迪拉克,173469,0.71%
2017,33,https://i.img16888.com/carlogo75/57477.gif,中国,东南,151246,0.62%
2017,34,https://i.img16888.com/carlogo75/126073.gif,中国,启辰,143206,0.58%
2017,35,https://i.img16888.com/carlogo75/57571.gif,中国,海马,136041,0.55%
2017,36,https://i.img16888.com/carlogo75/57765.gif,中国,名爵,135362,0.55%
2017,37,https://i.img16888.com/carlogo75/58044.gif,法国,雪铁龙,130827,0.53%
2017,38,https://i.img16888.com/carlogo75/57474.gif,中国,东风风神,125152,0.51%
2017,39,https://i.img16888.com/carlogo75/57396.gif,中国,猎豹汽车,122750,0.5%
2017,40,https://i.img16888.com/carlogo75/57594.gif,中国,华泰,120551,0.49%
2017,41,https://i.img16888.com/carlogo75/57909.gif,日本,三菱,119778,0.49%
2017,42,https://i.img16888.com/carlogo75/57636.gif,中国,金杯,117711,0.48%
2017,43,https://i.img16888.com/carlogo75/57733.gif,日本,铃木,114566,0.47%
2017,44,https://i.img16888.com/carlogo75/57301.gif,中国,奔腾,111999,0.46%
2017,45,https://i.img16888.com/carlogo75/126169.gif,中国,北京汽车,108269,0.44%
2017,46,https://i.img16888.com/carlogo75/57710.gif,中国,力帆汽车,101434,0.41%
2017,47,https://i.img16888.com/carlogo75/58074.gif,中国,中华,98815,0.4%
2017,48,https://i.img16888.com/carlogo75/58064.gif,中国,一汽,94056,0.38%
2017,49,https://i.img16888.com/carlogo75/57645.gif,中国,开瑞,93565,0.38%
2017,50,https://i.img16888.com/carlogo75/57979.gif,瑞典,沃尔沃,91496,0.37%
2017,51,https://i.img16888.com/carlogo75/126179.gif,中国,北汽威旺,86971,0.35%
2017,52,https://i.img16888.com/carlogo75/127628.gif,中国,魏牌,86427,0.35%
2017,53,https://i.img16888.com/carlogo75/57699.gif,法国,雷诺,72188,0.29%
2017,54,https://i.img16888.com/carlogo75/127635.gif,中国,比速汽车,72092,0.29%
2017,55,https://i.img16888.com/carlogo75/126810.gif,中国,北汽新能源,61941,0.25%
2017,56,https://i.img16888.com/carlogo75/57756.gif,英国,路虎,61915,0.25%
2017,57,https://i.img16888.com/carlogo75/57375.gif,中国,北汽昌河,57016,0.23%
2017,58,https://i.img16888.com/carlogo75/57272.gif,中国,北京,45877,0.19%
2017,59,https://i.img16888.com/carlogo75/126335.gif,中国,东风小康,45677,0.19%
2017,60,https://i.img16888.com/carlogo75/124944.gif,中国,江铃,45106,0.18%
2017,61,https://i.img16888.com/carlogo75/127130.gif,德国,宝沃,44380,0.18%
2017,62,https://i.img16888.com/carlogo75/126778.gif,中国,凯翼,41673,0.17%
