车型,厂商,时间,月销量(辆),当月销量排名,占厂商份额,在厂商排名,在SUV排名
沃尔沃XC60,沃尔沃亚太,2023-04,3989,117,37.52%,1,53
沃尔沃XC60,沃尔沃亚太,2023-03,3775,121,39.06%,1,56
沃尔沃XC60,沃尔沃亚太,2023-02,4570,98,40.89%,1,44
领克08新能源,领克,2024-02,3419,103,29.49%,2,49
领克08新能源,领克,2024-01,8816,76,32.20%,1,40
领克08新能源,领克,2023-12,10055,71,41.60%,1,30
领克08新能源,领克,2023-11,10019,66,35.01%,1,29
领克08新能源,领克,2023-10,8038,84,34.53%,1,38
领克08新能源,领克,2023-09,4017,140,19.68%,3,68
逸达,长安汽车,2024-02,3405,104,6.53%,6,23
逸达,长安汽车,2024-01,7623,88,5.85%,6,19
逸达,长安汽车,2023-12,4909,142,6.24%,6,31
逸达,长安汽车,2023-11,4734,127,6.16%,6,29
逸达,长安汽车,2023-10,5794,110,6.61%,6,24
逸达,长安汽车,2023-09,5618,108,6.61%,6,25
逸达,长安汽车,2023-08,4359,130,5.23%,6,27
逸达,长安汽车,2023-07,3558,137,4.22%,6,29
逸达,长安汽车,2023-06,4100,135,4.76%,6,30
逸达,长安汽车,2023-05,3988,123,4.91%,6,30
逸达,长安汽车,2023-04,2881,161,3.77%,7,34
逸达,长安汽车,2023-03,2031,192,3.01%,7,44
逸达,长安汽车,2023-02,715,295,0.99%,14,--
MG5,上汽集团,2024-02,3384,105,56.82%,1,24
MG5,上汽集团,2024-01,5852,112,51.94%,1,26
MG5,上汽集团,2023-12,4510,149,45.54%,1,33
MG5,上汽集团,2023-11,3061,174,37.54%,1,40
MG5,上汽集团,2023-10,4563,132,46.17%,1,28
MG5,上汽集团,2023-09,4035,138,43.74%,1,31
MG5,上汽集团,2023-08,2648,174,32.84%,2,37
MG5,上汽集团,2023-07,2600,174,34.57%,2,37
MG5,上汽集团,2023-06,3679,145,43.24%,2,32
MG5,上汽集团,2023-05,3383,142,41.53%,2,32
MG5,上汽集团,2023-04,2561,176,38.55%,2,40
MG5,上汽集团,2023-03,4505,108,73.55%,1,26
MG5,上汽集团,2023-02,5589,81,65.67%,1,20
蒙迪欧,长安福特,2024-02,3381,106,52.50%,1,17
蒙迪欧,长安福特,2024-01,7000,99,51.41%,1,16
蒙迪欧,长安福特,2023-12,8726,80,53.73%,1,15
蒙迪欧,长安福特,2023-11,7036,92,54.42%,1,15
蒙迪欧,长安福特,2023-10,6865,100,50.37%,1,14
蒙迪欧,长安福特,2023-09,6600,101,47.41%,1,14
蒙迪欧,长安福特,2023-08,5406,111,42.61%,1,16
蒙迪欧,长安福特,2023-07,4174,124,36.38%,1,19
蒙迪欧,长安福特,2023-06,4335,127,35.35%,1,20
蒙迪欧,长安福特,2023-05,3242,146,31.14%,1,19
蒙迪欧,长安福特,2023-04,2882,160,30.85%,1,25
蒙迪欧,长安福特,2023-03,2301,177,25.84%,2,22
蒙迪欧,长安福特,2023-02,5393,84,50.82%,1,12
传祺M6,广汽乘用车,2024-02,3334,107,22.16%,1,6
传祺M6,广汽乘用车,2024-01,4606,138,15.35%,3,8
传祺M6,广汽乘用车,2023-12,3371,179,10.19%,5,10
传祺M6,广汽乘用车,2023-11,4330,132,13.79%,3,6
传祺M6,广汽乘用车,2023-10,5171,116,17.08%,2,6
传祺M6,广汽乘用车,2023-09,4099,137,13.36%,4,8
传祺M6,广汽乘用车,2023-08,5405,112,16.18%,2,6
传祺M6,广汽乘用车,2023-07,4763,114,16.87%,2,7
传祺M6,广汽乘用车,2023-06,5345,108,15.10%,2,6
传祺M6,广汽乘用车,2023-05,4906,106,15.57%,3,6
传祺M6,广汽乘用车,2023-04,3900,123,14.18%,3,7
传祺M6,广汽乘用车,2023-03,5488,93,18.28%,3,6
传祺M6,广汽乘用车,2023-02,3745,110,15.67%,2,9
高尔夫,一汽-大众,2024-02,3245,108,6.12%,5,25
高尔夫,一汽-大众,2024-01,3468,172,3.54%,9,33
高尔夫,一汽-大众,2023-12,6766,104,5.48%,5,23
高尔夫,一汽-大众,2023-11,4302,133,4.43%,6,30
高尔夫,一汽-大众,2023-10,4658,126,5.11%,6,27
高尔夫,一汽-大众,2023-09,4823,122,5.07%,6,28
高尔夫,一汽-大众,2023-08,4974,116,5.58%,6,26
高尔夫,一汽-大众,2023-07,4539,116,5.49%,6,25
高尔夫,一汽-大众,2023-06,4335,126,4.42%,5,28
高尔夫,一汽-大众,2023-05,4537,113,5.43%,5,28
高尔夫,一汽-大众,2023-04,3883,124,4.98%,5,27
高尔夫,一汽-大众,2023-03,3504,127,4.32%,7,29
高尔夫,一汽-大众,2023-02,4271,103,7.04%,6,25
五菱佳辰,上汽通用五菱,2024-02,3086,109,5.75%,6,7
五菱佳辰,上汽通用五菱,2024-01,4405,145,6.07%,8,9
五菱佳辰,上汽通用五菱,2023-12,4954,140,5.31%,5,8
五菱佳辰,上汽通用五菱,2023-11,3526,155,4.83%,4,9
五菱佳辰,上汽通用五菱,2023-10,3810,145,5.29%,5,7
五菱佳辰,上汽通用五菱,2023-09,3830,147,5.58%,6,9
五菱佳辰,上汽通用五菱,2023-08,4391,129,7.57%,4,7
五菱佳辰,上汽通用五菱,2023-07,4166,125,6.49%,5,9
五菱佳辰,上汽通用五菱,2023-06,3581,151,6.93%,4,10
五菱佳辰,上汽通用五菱,2023-05,3603,136,5.69%,6,10
五菱佳辰,上汽通用五菱,2023-04,3096,147,5.32%,5,11
五菱佳辰,上汽通用五菱,2023-03,3511,126,6.22%,4,10
五菱佳辰,上汽通用五菱,2023-02,3921,108,5.99%,4,8
T-ROC探歌,一汽-大众,2024-02,3064,110,5.78%,6,50
T-ROC探歌,一汽-大众,2024-01,7488,90,7.64%,5,44
T-ROC探歌,一汽-大众,2023-12,5449,129,4.41%,7,60
T-ROC探歌,一汽-大众,2023-11,6804,97,7.01%,5,45
T-ROC探歌,一汽-大众,2023-10,4684,124,5.14%,5,60
T-ROC探歌,一汽-大众,2023-09,5252,114,5.52%,5,52
T-ROC探歌,一汽-大众,2023-08,5791,106,6.50%,5,49
T-ROC探歌,一汽-大众,2023-07,4934,109,5.96%,5,53
T-ROC探歌,一汽-大众,2023-06,3954,138,4.03%,6,63
T-ROC探歌,一汽-大众,2023-05,3953,125,4.73%,6,58
T-ROC探歌,一汽-大众,2023-04,3266,142,4.19%,7,67
T-ROC探歌,一汽-大众,2023-03,5662,86,6.99%,5,41
T-ROC探歌,一汽-大众,2023-02,4658,95,7.67%,5,43
五菱星驰,上汽通用五菱,2024-02,3024,111,5.63%,7,51
五菱星驰,上汽通用五菱,2024-01,4708,134,6.49%,6,65
五菱星驰,上汽通用五菱,2023-12,4648,146,4.99%,6,69
五菱星驰,上汽通用五菱,2023-11,3300,161,4.52%,5,79
五菱星驰,上汽通用五菱,2023-10,4163,141,5.78%,4,72
五菱星驰,上汽通用五菱,2023-09,3984,143,5.81%,5,70
五菱星驰,上汽通用五菱,2023-08,3921,141,6.76%,5,68
五菱星驰,上汽通用五菱,2023-07,3648,134,5.68%,6,64
五菱星驰,上汽通用五菱,2023-06,3138,164,6.07%,6,80
五菱星驰,上汽通用五菱,2023-05,3219,148,5.09%,7,69
五菱星驰,上汽通用五菱,2023-04,2174,193,3.73%,8,94
五菱星驰,上汽通用五菱,2023-03,2503,163,4.43%,8,77
五菱星驰,上汽通用五菱,2023-02,3111,126,4.75%,7,57
豪越L,吉利汽车,2024-02,3008,112,5.56%,8,52
豪越L,吉利汽车,2024-01,5577,114,4.68%,8,55
豪越L,吉利汽车,2023-12,756,344,1.06%,11,184
豪越L,吉利汽车,2023-11,1922,226,1.79%,10,120
豪越L,吉利汽车,2023-10,1997,224,2.15%,9,120
豪越L,吉利汽车,2023-09,2262,204,2.55%,9,104
豪越L,吉利汽车,2023-08,1947,214,2.53%,9,110
豪越L,吉利汽车,2023-07,2145,197,2.94%,9,101
豪越L,吉利汽车,2023-06,2974,173,4.15%,8,83
豪越L,吉利汽车,2023-05,2153,192,3.21%,8,91
豪越L,吉利汽车,2023-04,2025,201,3.39%,7,100
奔腾B70,一汽奔腾,2024-02,3002,113,69.17%,1,18
奔腾B70,一汽奔腾,2024-01,4666,136,60.12%,1,23
奔腾B70,一汽奔腾,2023-12,8588,83,56.72%,1,16
奔腾B70,一汽奔腾,2023-11,5047,122,56.28%,1,20
奔腾B70,一汽奔腾,2023-10,3776,146,49.76%,1,20
奔腾B70,一汽奔腾,2023-09,3878,146,58.18%,1,20
奔腾B70,一汽奔腾,2023-08,2607,177,37.82%,1,26
奔腾B70,一汽奔腾,2023-07,3356,145,52.12%,1,22
奔腾B70,一汽奔腾,2023-06,3666,146,40.53%,2,22
奔腾B70,一汽奔腾,2023-05,2828,160,48.16%,1,21
奔腾B70,一汽奔腾,2023-04,2890,158,47.16%,1,24
奔腾B70,一汽奔腾,2023-03,2298,178,41.84%,1,23
奔腾B70,一汽奔腾,2023-02,1593,205,40.90%,1,27
长安启源A05,长安启源,2024-02,2987,114,46.25%,1,26
长安启源A05,长安启源,2024-01,2921,180,43.27%,2,37
长安启源A05,长安启源,2023-12,2529,214,36.92%,2,42
长安启源A05,长安启源,2023-11,1445,255,31.61%,2,46
长安启源A05,长安启源,2023-10,884,313,20.88%,2,52
领克06,领克,2024-02,2971,115,25.62%,3,53
领克06,领克,2024-01,6034,109,22.04%,3,54
领克06,领克,2023-12,3362,180,13.91%,3,90
领克06,领克,2023-11,3694,151,12.91%,3,75
领克06,领克,2023-10,5505,112,23.65%,3,53
领克06,领克,2023-09,5546,109,27.17%,2,49
领克06,领克,2023-08,6563,94,36.80%,1,44
领克06,领克,2023-07,5276,106,34.68%,2,51
领克06,领克,2023-06,6024,98,40.59%,1,45
领克06,领克,2023-05,5309,95,39.41%,1,43
领克06,领克,2023-04,4690,105,37.30%,1,47
领克06,领克,2023-03,5055,99,39.70%,1,45
领克06,领克,2023-02,4837,91,41.01%,1,41
蔚来ES6,蔚来,2024-02,2959,116,36.39%,1,54
蔚来ES6,蔚来,2024-01,3944,159,39.22%,1,80
蔚来ES6,蔚来,2023-12,6943,103,38.55%,1,48
蔚来ES6,蔚来,2023-11,5666,115,35.50%,1,54
蔚来ES6,蔚来,2023-10,5875,109,36.55%,1,52
蔚来ES6,蔚来,2023-09,7896,83,50.48%,1,38
蔚来ES6,蔚来,2023-08,8601,75,44.50%,1,34
蔚来ES6,蔚来,2023-07,11118,44,54.38%,1,19
蔚来ES6,蔚来,2023-06,4677,120,43.77%,1,56
蔚来ES6,蔚来,2023-05,1016,267,16.55%,2,129
蔚来ES6,蔚来,2023-04,174,441,2.65%,6,232
蔚来ES6,蔚来,2023-03,853,298,8.22%,3,147
蔚来ES6,蔚来,2023-02,2848,138,23.43%,2,65
捷途X90,奇瑞汽车,2024-02,2889,117,15.20%,3,55
捷途X90,奇瑞汽车,2024-01,3932,160,12.68%,4,81
捷途X90,奇瑞汽车,2023-12,3039,192,10.28%,4,96
捷途X90,奇瑞汽车,2023-11,2197,212,8.09%,4,109
捷途X90,奇瑞汽车,2023-10,2788,181,10.71%,4,91
捷途X90,奇瑞汽车,2023-09,2561,190,11.84%,4,94
捷途X90,奇瑞汽车,2023-08,2581,178,14.50%,3,87
捷途X90,奇瑞汽车,2023-07,2115,198,15.34%,3,103
捷途X90,奇瑞汽车,2023-06,2244,197,18.12%,3,101
捷途X90,奇瑞汽车,2023-05,1845,209,16.04%,3,102
捷途X90,奇瑞汽车,2023-04,1549,222,15.49%,3,109
捷途X90,奇瑞汽车,2023-03,1963,195,17.07%,3,92
捷途X90,奇瑞汽车,2023-02,1746,191,15.59%,2,90
奥迪A3,一汽-大众奥迪,2024-02,2884,118,9.13%,4,27
奥迪A3,一汽-大众奥迪,2024-01,3721,165,7.29%,4,31
奥迪A3,一汽-大众奥迪,2023-12,6125,116,8.79%,4,28
奥迪A3,一汽-大众奥迪,2023-11,4754,126,8.27%,4,28
奥迪A3,一汽-大众奥迪,2023-10,4685,123,9.41%,4,26
奥迪A3,一汽-大众奥迪,2023-09,6974,97,11.14%,4,24
奥迪A3,一汽-大众奥迪,2023-08,5830,105,10.59%,4,25
奥迪A3,一汽-大众奥迪,2023-07,5296,105,10.04%,4,24
奥迪A3,一汽-大众奥迪,2023-06,6534,91,10.20%,4,22
奥迪A3,一汽-大众奥迪,2023-05,5301,96,10.06%,4,22
奥迪A3,一汽-大众奥迪,2023-04,4700,103,9.59%,4,24
奥迪A3,一汽-大众奥迪,2023-03,6375,72,12.31%,4,18
奥迪A3,一汽-大众奥迪,2023-02,4768,92,12.29%,4,22
宝马i3,华晨宝马,2024-02,2870,119,7.33%,6,19
宝马i3,华晨宝马,2024-01,4745,133,6.99%,6,22
宝马i3,华晨宝马,2023-12,5786,120,9.21%,6,20
宝马i3,华晨宝马,2023-11,6160,108,9.49%,6,19
宝马i3,华晨宝马,2023-10,5763,111,9.54%,6,16
宝马i3,华晨宝马,2023-09,6074,105,9.90%,6,16
宝马i3,华晨宝马,2023-08,4952,118,8.24%,6,17
宝马i3,华晨宝马,2023-07,3590,135,5.99%,5,21
宝马i3,华晨宝马,2023-06,4787,117,8.11%,5,19
宝马i3,华晨宝马,2023-04,3085,149,5.80%,7,21
宝马i3,华晨宝马,2023-03,3147,136,5.40%,7,19
宝马i3,华晨宝马,2023-02,2976,133,6.03%,6,18
宝马i3,华晨宝马,2023-01,3624,114,6.38%,6,17
科鲁泽,上汽通用雪佛兰,2024-02,2810,120,80.13%,1,28
科鲁泽,上汽通用雪佛兰,2024-01,8181,84,81.75%,1,18
科鲁泽,上汽通用雪佛兰,2023-12,7185,97,71.87%,1,21
科鲁泽,上汽通用雪佛兰,2023-11,11186,56,86.07%,1,13
科鲁泽,上汽通用雪佛兰,2023-10,11025,56,81.68%,1,14
科鲁泽,上汽通用雪佛兰,2023-09,13665,36,80.67%,1,9
科鲁泽,上汽通用雪佛兰,2023-08,9511,62,59.87%,1,15
科鲁泽,上汽通用雪佛兰,2023-07,12502,38,73.52%,1,10
科鲁泽,上汽通用雪佛兰,2023-06,12268,43,72.15%,1,11
科鲁泽,上汽通用雪佛兰,2023-05,10978,44,73.18%,1,13
科鲁泽,上汽通用雪佛兰,2023-04,10247,46,64.02%,1,12
科鲁泽,上汽通用雪佛兰,2023-03,8197,55,59.60%,1,14
科鲁泽,上汽通用雪佛兰,2023-02,6816,67,68.20%,1,18
卡罗拉,一汽丰田,2024-02,2743,121,9.42%,3,29
卡罗拉,一汽丰田,2024-01,13921,37,19.94%,3,11
卡罗拉,一汽丰田,2023-12,13779,44,16.13%,3,8
卡罗拉,一汽丰田,2023-11,13343,39,20.55%,3,8
卡罗拉,一汽丰田,2023-10,13276,40,19.84%,3,9
卡罗拉,一汽丰田,2023-09,15242,30,19.59%,3,7
卡罗拉,一汽丰田,2023-08,16092,23,21.24%,2,7
卡罗拉,一汽丰田,2023-07,16844,19,26.75%,1,7
卡罗拉,一汽丰田,2023-06,17833,17,25.19%,1,7
卡罗拉,一汽丰田,2023-05,17080,16,24.40%,1,6
卡罗拉,一汽丰田,2023-04,17656,15,24.73%,1,6
卡罗拉,一汽丰田,2023-03,16833,13,27.00%,1,6
卡罗拉,一汽丰田,2023-02,12776,21,25.57%,1,7
红旗HS3,一汽红旗,2024-02,2742,122,10.97%,4,56
红旗HS3,一汽红旗,2024-01,3742,164,9.27%,4,83
红旗HS3,一汽红旗,2023-12,3887,167,8.61%,4,84
红旗HS3,一汽红旗,2023-11,4118,139,10.39%,4,68
红旗HS3,一汽红旗,2023-10,3307,167,8.87%,4,83
红旗HS3,一汽红旗,2023-09,2634,188,7.57%,4,93
红旗HS3,一汽红旗,2023-08,2089,205,6.82%,4,104
红旗HS3,一汽红旗,2023-07,679,324,2.31%,8,173
传祺GS3,广汽乘用车,2024-02,2741,123,18.22%,2,57
传祺GS3,广汽乘用车,2024-01,4775,131,15.91%,2,63
传祺GS3,广汽乘用车,2023-12,5496,128,16.61%,2,59
传祺GS3,广汽乘用车,2023-11,5657,116,18.02%,2,55
传祺GS3,广汽乘用车,2023-10,4503,133,14.88%,3,66
传祺GS3,广汽乘用车,2023-09,4697,123,15.31%,2,59
传祺GS3,广汽乘用车,2023-08,4757,120,14.24%,3,58
传祺GS3,广汽乘用车,2023-07,3959,128,14.03%,3,61
传祺GS3,广汽乘用车,2023-06,4604,122,13.00%,4,57
传祺GS3,广汽乘用车,2023-05,5374,93,17.06%,2,42
传祺GS3,广汽乘用车,2023-04,5229,93,19.01%,2,40
传祺GS3,广汽乘用车,2023-03,5946,78,19.81%,2,35
传祺GS3,广汽乘用车,2023-02,2890,136,12.10%,5,63
亚洲龙,一汽丰田,2024-02,2739,124,9.40%,4,20
亚洲龙,一汽丰田,2024-01,6635,102,9.50%,4,17
亚洲龙,一汽丰田,2023-12,11478,60,13.44%,4,11
亚洲龙,一汽丰田,2023-11,6825,96,10.51%,4,16
亚洲龙,一汽丰田,2023-10,8829,71,13.19%,4,13
亚洲龙,一汽丰田,2023-09,9719,65,12.49%,4,9
亚洲龙,一汽丰田,2023-08,9146,69,12.07%,4,10
亚洲龙,一汽丰田,2023-07,7088,84,11.26%,4,10
亚洲龙,一汽丰田,2023-06,8444,75,11.93%,4,12
亚洲龙,一汽丰田,2023-05,7066,76,10.09%,4,12
亚洲龙,一汽丰田,2023-04,10486,43,14.69%,3,8
亚洲龙,一汽丰田,2023-03,7418,63,11.90%,4,10
亚洲龙,一汽丰田,2023-02,4298,102,8.60%,5,14
五菱星辰,上汽通用五菱,2024-02,2710,125,5.05%,8,58
五菱星辰,上汽通用五菱,2024-01,4681,135,6.45%,7,66
五菱星辰,上汽通用五菱,2023-12,4494,152,4.82%,7,72
五菱星辰,上汽通用五菱,2023-11,2984,179,4.09%,6,88
五菱星辰,上汽通用五菱,2023-10,3501,157,4.86%,6,78
五菱星辰,上汽通用五菱,2023-09,3480,157,5.07%,7,77
五菱星辰,上汽通用五菱,2023-08,3759,145,6.48%,6,70
五菱星辰,上汽通用五菱,2023-07,3509,139,5.46%,7,66
五菱星辰,上汽通用五菱,2023-06,3472,152,6.72%,5,73
五菱星辰,上汽通用五菱,2023-05,3608,135,5.70%,5,63
五菱星辰,上汽通用五菱,2023-04,2672,171,4.59%,6,79
五菱星辰,上汽通用五菱,2023-03,2613,160,4.63%,7,74
五菱星辰,上汽通用五菱,2023-02,3253,121,4.97%,6,55
极氪001,极氪,2024-02,2663,126,35.46%,2,5
极氪001,极氪,2024-01,5272,122,42.05%,2,5
极氪001,极氪,2023-12,7980,87,59.22%,1,4
极氪001,极氪,2023-11,6751,98,51.52%,1,4
极氪001,极氪,2023-10,8517,78,65.13%,1,5
极氪001,极氪,2023-09,8701,72,72.19%,1,5
极氪001,极氪,2023-08,6822,90,55.45%,1,5
极氪001,极氪,2023-07,6170,94,51.25%,1,5
极氪001,极氪,2023-06,6147,94,57.88%,1,5
极氪001,极氪,2023-05,6223,84,71.71%,1,4
极氪001,极氪,2023-04,6463,76,79.78%,1,5
极氪001,极氪,2023-03,4517,107,67.79%,1,5
极氪001,极氪,2023-02,4839,90,88.71%,1,5
长安CS35PLUS,长安汽车,2024-02,2633,127,5.05%,7,59
长安CS35PLUS,长安汽车,2024-01,5411,117,4.15%,7,56
长安CS35PLUS,长安汽车,2023-12,3011,197,3.83%,7,99
长安CS35PLUS,长安汽车,2023-11,3234,166,4.21%,7,81
长安CS35PLUS,长安汽车,2023-10,3309,166,3.78%,7,82
长安CS35PLUS,长安汽车,2023-09,2966,175,3.49%,7,85
长安CS35PLUS,长安汽车,2023-08,1584,236,1.90%,11,123
长安CS35PLUS,长安汽车,2023-07,3358,144,3.98%,7,69
长安CS35PLUS,长安汽车,2023-06,3650,147,4.23%,7,69
长安CS35PLUS,长安汽车,2023-05,3212,149,3.96%,7,70
长安CS35PLUS,长安汽车,2023-04,3933,121,5.14%,6,55
长安CS35PLUS,长安汽车,2023-03,1751,203,2.60%,8,95
长安CS35PLUS,长安汽车,2023-02,7226,61,10.00%,6,27
格瑞维亚,一汽丰田,2024-02,2541,128,8.72%,5,8
格瑞维亚,一汽丰田,2024-01,5368,119,7.69%,5,5
格瑞维亚,一汽丰田,2023-12,6235,114,7.30%,6,3
格瑞维亚,一汽丰田,2023-11,3768,148,5.80%,6,8
格瑞维亚,一汽丰田,2023-10,3373,163,5.04%,6,8
格瑞维亚,一汽丰田,2023-09,5285,113,6.79%,5,7
格瑞维亚,一汽丰田,2023-08,3980,138,5.25%,6,8
格瑞维亚,一汽丰田,2023-07,4179,123,6.64%,5,8
格瑞维亚,一汽丰田,2023-06,4127,132,5.83%,5,8
格瑞维亚,一汽丰田,2023-05,4171,119,5.96%,5,7
格瑞维亚,一汽丰田,2023-04,3688,131,5.17%,6,10
格瑞维亚,一汽丰田,2023-03,3732,122,5.99%,5,9
格瑞维亚,一汽丰田,2023-02,4384,101,8.78%,4,7
微蓝6,上汽通用别克,2024-02,2535,129,13.81%,4,30
微蓝6,上汽通用别克,2024-01,5249,123,12.17%,3,27
微蓝6,上汽通用别克,2023-12,7862,89,22.13%,2,20
微蓝6,上汽通用别克,2023-11,6195,106,13.59%,5,23
微蓝6,上汽通用别克,2023-10,3541,153,8.39%,5,35
微蓝6,上汽通用别克,2023-09,3587,151,7.04%,6,33
微蓝6,上汽通用别克,2023-08,2472,180,4.95%,7,39
微蓝6,上汽通用别克,2023-07,3295,150,6.60%,6,32
微蓝6,上汽通用别克,2023-06,2463,189,5.35%,6,39
微蓝6,上汽通用别克,2023-05,1534,223,3.33%,8,46
微蓝6,上汽通用别克,2023-04,3033,152,6.86%,6,32
微蓝6,上汽通用别克,2023-03,5409,95,14.14%,4,24
微蓝6,上汽通用别克,2023-02,2923,134,8.86%,4,31
瑞虎9,奇瑞汽车,2024-02,2530,130,8.89%,4,60
瑞虎9,奇瑞汽车,2024-01,7112,97,11.44%,3,49
瑞虎9,奇瑞汽车,2023-12,5230,133,10.15%,4,62
瑞虎9,奇瑞汽车,2023-11,5010,124,11.54%,4,59
瑞虎9,奇瑞汽车,2023-10,6008,107,13.82%,3,50
瑞虎9,奇瑞汽车,2023-09,5290,112,12.54%,3,51
瑞虎9,奇瑞汽车,2023-08,4448,128,12.29%,4,65
瑞虎9,奇瑞汽车,2023-07,4010,127,11.28%,4,60
瑞虎9,奇瑞汽车,2023-06,3003,171,9.59%,5,81
途昂,上汽大众,2024-02,2496,131,4.08%,7,61
途昂,上汽大众,2024-01,5226,124,4.69%,7,60
途昂,上汽大众,2023-12,5797,119,4.22%,7,54
途昂,上汽大众,2023-11,4138,138,3.75%,7,67
途昂,上汽大众,2023-10,4246,139,3.97%,7,70
途昂,上汽大众,2023-09,4477,126,4.07%,7,60
途昂,上汽大众,2023-08,4518,127,4.25%,7,64
途昂,上汽大众,2023-07,4628,115,4.82%,7,55
途昂,上汽大众,2023-06,4103,134,4.36%,6,61
途昂,上汽大众,2023-05,3459,138,3.84%,6,65
途昂,上汽大众,2023-04,3986,119,4.14%,7,54
途昂,上汽大众,2023-03,3438,130,4.24%,7,61
途昂,上汽大众,2023-02,3085,128,4.32%,8,58
五菱荣光,上汽通用五菱,2024-02,2450,132,4.56%,9,9
五菱荣光,上汽通用五菱,2024-01,2655,187,3.66%,9,13
五菱荣光,上汽通用五菱,2023-12,2991,200,3.21%,8,13
五菱荣光,上汽通用五菱,2023-11,2626,193,3.60%,7,10
五菱荣光,上汽通用五菱,2023-10,3126,171,4.34%,7,11
五菱荣光,上汽通用五菱,2023-09,3242,164,4.72%,8,11
五菱荣光,上汽通用五菱,2023-08,3262,158,5.63%,7,10
五菱荣光,上汽通用五菱,2023-07,3123,159,4.86%,8,11
五菱荣光,上汽通用五菱,2023-06,3109,166,6.02%,7,12
五菱荣光,上汽通用五菱,2023-05,3656,134,5.78%,4,9
五菱荣光,上汽通用五菱,2023-04,3705,130,6.36%,4,9
五菱荣光,上汽通用五菱,2023-03,4892,102,8.67%,3,7
五菱荣光,上汽通用五菱,2023-02,5800,78,8.85%,3,5
奇骏,东风日产,2024-02,2427,133,6.71%,4,62
奇骏,东风日产,2024-01,4392,146,7.55%,4,72
奇骏,东风日产,2023-12,5658,125,6.39%,4,57
奇骏,东风日产,2023-11,3319,160,5.10%,4,78
奇骏,东风日产,2023-10,5012,120,7.83%,4,59
奇骏,东风日产,2023-09,4256,132,7.94%,4,64
奇骏,东风日产,2023-08,5695,108,10.36%,3,50
奇骏,东风日产,2023-07,4095,126,8.16%,4,59
奇骏,东风日产,2023-06,1364,249,2.53%,4,130
奇骏,东风日产,2023-05,415,366,0.73%,9,190
奇骏,东风日产,2023-04,947,283,1.85%,7,137
奇骏,东风日产,2023-03,846,299,2.16%,7,148
奇骏,东风日产,2023-02,468,341,0.94%,6,177
长安欧尚X7 PLUS,长安汽车,2024-02,2407,134,14.33%,3,63
长安欧尚X7 PLUS,长安汽车,2024-01,4158,151,13.09%,3,75
长安欧尚X7 PLUS,长安汽车,2023-12,2349,220,11.52%,4,113
长安欧尚X7 PLUS,长安汽车,2023-11,2814,187,14.06%,4,92
长安欧尚X7 PLUS,长安汽车,2023-10,3501,156,12.99%,4,79
长安欧尚X7 PLUS,长安汽车,2023-09,3508,155,15.72%,4,75
长安欧尚X7 PLUS,长安汽车,2023-08,3356,155,16.67%,4,73
长安欧尚X7 PLUS,长安汽车,2023-07,3285,151,16.83%,4,72
长安欧尚X7 PLUS,长安汽车,2023-06,3622,148,17.09%,4,70
长安欧尚X7 PLUS,长安汽车,2023-05,3660,133,19.44%,3,62
长安欧尚X7 PLUS,长安汽车,2023-04,2987,154,19.56%,3,74
长安欧尚X7 PLUS,长安汽车,2023-03,2494,164,18.54%,3,78
长安欧尚X7 PLUS,长安汽车,2023-02,2741,142,21.08%,3,66
哪吒X,合众汽车,2024-02,2338,135,58.98%,1,64
哪吒X,合众汽车,2024-01,4766,132,67.27%,1,64
哪吒X,合众汽车,2023-12,10,539,0.49%,2,294
哪吒X,合众汽车,2023-11,7091,91,74.54%,1,42
海豹,比亚迪,2024-02,2319,136,2.11%,11,21
海豹,比亚迪,2024-01,8459,79,4.43%,9,12
海豹,比亚迪,2023-12,14381,42,5.11%,8,9
海豹,比亚迪,2023-11,13060,40,5.22%,8,7
海豹,比亚迪,2023-10,9767,66,3.96%,9,12
海豹,比亚迪,2023-09,7291,91,2.99%,10,12
海豹,比亚迪,2023-08,4100,135,1.78%,11,21
海豹,比亚迪,2023-07,5100,107,2.32%,10,13
海豹,比亚迪,2023-06,6802,88,3.09%,10,13
海豹,比亚迪,2023-05,8062,63,3.84%,11,9
海豹,比亚迪,2023-04,6323,80,3.45%,9,12
海豹,比亚迪,2023-03,5201,98,2.87%,9,15
海豹,比亚迪,2023-02,7754,50,4.58%,8,8
豹5,方程豹,2024-02,2310,137,100.00%,1,65
豹5,方程豹,2024-01,5203,125,100.00%,1,61
豹5,方程豹,2023-12,5086,136,100.00%,1,64
豹5,方程豹,2023-11,626,348,100.00%,1,187
奔驰A级,北京奔驰,2024-02,2309,138,6.24%,4,31
奔驰A级,北京奔驰,2024-01,3962,157,9.83%,5,30
奔驰A级,北京奔驰,2023-12,4946,141,9.28%,5,30
奔驰A级,北京奔驰,2023-11,5017,123,14.17%,3,27
奔驰A级,北京奔驰,2023-10,2228,208,5.70%,5,38
奔驰A级,北京奔驰,2023-09,4835,121,8.74%,4,27
奔驰A级,北京奔驰,2023-08,4018,137,7.29%,5,28
奔驰A级,北京奔驰,2023-07,2581,176,5.04%,5,38
奔驰A级,北京奔驰,2023-06,4016,136,6.96%,5,31
奔驰A级,北京奔驰,2023-05,5423,92,10.57%,5,21
奔驰A级,北京奔驰,2023-04,5600,91,11.31%,4,21
奔驰A级,北京奔驰,2023-03,5595,91,11.30%,4,22
