brand,carName,carImg,saleVolume,min_price,max_price,manufacturer,rank,carModel,energyType,marketTime,over_score,appearance_score,interior_score,configure_score,spatial_score,comfort_score,manipulating_score,motivation_score,comprehensive_evaluation
江铃集团新能源,易至EV3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/85b368807a6e4a4384b8b605eebe55bf~tplv-resize:640:0.png,101,5.28,8.28,江铃集团新能源,447,微型车,纯电动,2023.10,-,-,-,-,-,-,-,-,"['乘坐感受还可以（1）', '售后态度好（1）', '配置实用（1）', '动力输出平顺（1）', '刹车表现好（1）', '驾驶体验良好（1）', '操控出色（1）', '后排空间小（2）', '维修费用较高（1）']"
凌宝汽车,凌宝Uni,https://p3-dcd.byteimg.com/img/motor-mis-img/f0549e706e22b4bef069b9e470c55ff3~tplv-resize:640:0.png,100,2.98,4.18,吉麦新能源,448,微型车,纯电动,2023.03,-,-,-,-,-,-,-,-,"['整体空间出色（1）', '外观时尚（1）', '车机功能丰富（1）', '配置实用（1）', '动力十足（1）', '内饰材质较差（1）']"
大众,ID.6 X,https://p9-dcd.byteimg.com/img/motor-mis-img/bc5400d7759589d05ac39a0f52362327~tplv-resize:640:0.png,100,19.59,25.49,上汽大众,449,中大型SUV,纯电动,2023.04,4.02,4.22,3.81,4.12,4.10,3.96,3.99,3.95,"['整体空间出色（40）', '底盘调校好（28）', '驾驶体验良好（25）', '续航表现优秀（22）', '静谧性强（17）', '配置丰富（17）', '动力输出平顺（16）', '后备厢空间大（15）', '操控出色（15）', '内饰好看（13）', '动力十足（12）', '后排空间大（11）', '车机功能简单（7）', '配置鸡肋（6）', '有异响（5）', '乘坐感受比较差（4）', '续航表现较差（4）', '人机工程较差（4）', '刹车表现较差（4）', '车机卡顿严重（3）', '动力不足（3）', '第三排狭小（2）', '隔音差（2）', '风噪大（2）']"
凯迪拉克,凯迪拉克GT4,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6db297a9abf54fcb86895a89462201a4~tplv-resize:640:0.png,99,18.97,27.47,上汽通用凯迪拉克,451,紧凑型SUV,48V轻混系统,2023.05,3.89,4.45,4.39,4.11,3.06,3.66,3.70,3.84,"['配置丰富（5）', '外观时尚（4）', '动力十足（4）', '外观大气（2）', '驾驶体验良好（2）', '后排空间大（1）', '前排乘坐舒适（1）', '乘坐感受还可以（1）', '内饰好看（1）', '音响品质好（1）', '天窗够大（1）', '底盘调校好（1）', '动力中规中矩（2）', '空间中规中矩（1）', '油耗一般（1）', '后备厢空间小（7）', '后排空间小（3）', '动力响应不灵敏（2）', '胎噪大（1）']"
捷豹,捷豹E-PACE,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1e15311a8df14f7b9e95bdbc308c9eb1~tplv-resize:640:0.png,94,18.47,22.47,奇瑞捷豹路虎,452,紧凑型SUV,48V轻混系统,2023.08,3.76,4.08,3.86,3.70,3.42,3.53,3.72,3.98,"['动力十足（8）', '外观时尚（4）', '外观拉风（4）', '操控出色（4）', '驾驶体验良好（3）', '后备厢空间大（2）', '整体空间出色（2）', '灯组造型独特（2）', '外观耐看（2）', '内饰质感不错（1）', '动力中规中矩（3）', '空间中规中矩（1）', '后排空间小（5）', '后排地台隆起（2）', '风噪大（2）', '变速箱换挡顿挫（2）', '空间局促（1）', '悬挂表现不理想（1）', '油耗高（1）', '新车异味较大（1）', '有异响（1）', '配置低（1）', '动力不足（1）', '刹车表现较差（1）']"
坦克,坦克500,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5000e8f30e924e12a70153d236ad1d89~tplv-resize:640:0.png,91,33.5,39.5,长城汽车,453,中大型SUV,48V轻混系统,2023.03,3.97,4.24,4.17,4.21,4.07,3.72,3.52,3.85,"['动力十足（51）', '配置丰富（40）', '整体空间出色（32）', '内饰质感不错（21）', '乘坐感受还可以（17）', '内饰好看（16）', '静谧性强（12）', '越野性能强悍（11）', '驾驶体验良好（11）', '动力响应灵敏（10）', '外观大气（8）', '后排空间大（7）', '后备厢空间小（10）', '有异响（9）', '油耗高（6）', '城市油耗高（5）', '配置鸡肋（5）', '变速箱换挡顿挫（4）', '变速箱调校较差（3）', '动力响应不灵敏（3）', '人机工程较差（2）', '动力不足（2）', '刹车表现较差（2）', '储物空间较少（1）']"
名爵,MG6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/394b1cd9e0fd48bd983858c13464536c~tplv-resize:640:0.png,89,9.58,11.38,上汽集团,454,紧凑型车,汽油,2023.04,3.72,4.24,3.63,3.53,3.71,3.51,3.72,3.74,"['动力十足（221）', '整体空间出色（88）', '动力响应灵敏（58）', '配置丰富（52）', '操控出色（47）', '外观时尚（44）', '乘坐感受还可以（43）', '驾驶体验良好（42）', '外观拉风（39）', '后备厢空间大（38）', '外观耐看（31）', '油耗低（30）', '胎噪大（76）', '油耗高（63）', '有异响（61）', '隔音差（59）', '变速箱换挡顿挫（35）', '风噪大（21）', '内饰材质较差（19）', '乘坐感受比较差（19）', '新车异味较大（16）', '悬挂表现不理想（15）', '车机卡顿严重（15）', '动力响应迟滞（15）']"
江淮汽车,江淮QX PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5901534bebac4251a0136474f5411173~tplv-resize:640:0.png,88,12.99,19.69,江汽集团,455,紧凑型SUV,插电式混合动力,2023.09,-,-,-,-,-,-,-,-,"['整体空间出色（3）', '驾驶体验良好（3）', '动力十足（2）', '动力输出平顺（2）', '内饰质感不错（1）', '储物空间合理（1）', '后备厢空间大（1）', '后排空间大（1）', '配置丰富（1）', '操控出色（1）', '底盘调校好（1）', '新车异味较大（1）', '人机工程较差（1）']"
腾势,腾势N8 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ec78984f21fa4cca973f9ce89320d770~tplv-resize:640:0.png,85,31.18,31.88,腾势汽车,456,中大型SUV,插电式混合动力,2023.08,-,-,-,-,-,-,-,-,"['整体空间出色（4）', '内饰好看（4）', '动力十足（4）', '内饰质感不错（3）', '配置丰富（2）', '驾驶体验良好（2）', '离地间隙表现好（1）', '售后态度好（1）', '外观时尚（1）', '刹车表现好（1）', '底盘调校好（1）', '车机功能简单（2）', '第三排狭小（1）', '油耗高（1）', '人机工程较差（1）', '配置鸡肋（1）']"
上汽大通MAXUS,大家9,https://p3-dcd.byteimg.com/img/motor-mis-img/149f3cd713fb650b0414ba133fad555a~tplv-resize:640:0.png,84,25.39,40.39,上汽大通,457,中大型MPV,纯电动,2023.06,-,-,-,-,-,-,-,-,"['整体空间出色（6）', '配置丰富（4）', '驾驶体验良好（3）', '第三排够用（2）', '乘坐感受还可以（2）', '续航表现优秀（2）', '车机操作流畅（2）', '辅助驾驶功能多（2）', '动力十足（2）', '内饰质感不错（1）', '充电时间较短（1）', '后备厢空间大（1）', '后排空间大（1）', '静谧性强（1）', '外观时尚（1）', '外观大气（1）', '续航满足通勤（1）', '动力中规中矩（1）', '风噪大（1）', '悬架跳动明显（1）', '配置低（1）', '整体配置一般（1）']"
大众,途安L,https://p3-dcd.byteimg.com/img/motor-mis-img/20f107b28a94a16705865e9b91e79819~tplv-resize:640:0.png,84,15.18,18.08,上汽大众,458,紧凑型MPV,汽油,2023.10,3.74,3.88,3.51,3.71,4.03,3.77,3.66,3.60,"['整体空间出色（23）', '动力十足（9）', '油耗低（4）', '后备厢空间大（3）', '后排空间大（3）', '乘坐感受还可以（3）', '变速箱换挡顺畅（3）', '动力输出平顺（3）', '内饰质感不错（2）', '前排乘坐舒适（2）', '动力中规中矩（6）', '空间中规中矩（3）', '动力响应不灵敏（4）', '动力不足（4）', '第三排狭小（3）', '内饰设计一般（2）', '乘坐感受比较差（2）', '变速箱换挡顿挫（2）', '有异响（2）', '整体配置一般（2）', '内饰材质较差（1）', '后排空间小（1）', '隔音差（1）', '新车异味较大（1）']"
合创汽车,合创A06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6ed97fb37fb446c2bfc1ed3f142f8015~tplv-resize:640:0.png,82,13.98,26.98,合创汽车,459,中型车,纯电动,2023.11,3.78,4.09,3.61,3.69,3.60,3.81,3.81,3.86,"['配置丰富（3）', '整体空间出色（2）', '内饰好看（2）', '外观时尚（2）', '内饰质感不错（1）', '后备厢空间大（1）', '后排空间大（1）', '乘坐感受还可以（1）', '续航表现优秀（1）', '外观拉风（1）', '车机操作流畅（1）', '天窗够大（1）', '辅助驾驶功能多（1）', '配置实用（1）', '动力十足（1）', '动力响应灵敏（1）', '底盘调校好（1）', '外观中规中矩（1）', '胎噪大（1）']"
起亚,嘉华,https://p3-dcd.byteimg.com/img/motor-mis-img/c6ac1024c4633112f738ffc8fc41b52c~tplv-resize:640:0.png,77,23.99,29.09,起亚,460,中大型MPV,汽油,2021.09,4.02,4.06,3.99,4.12,4.31,4.08,3.71,3.87,"['整体空间出色（43）', '配置丰富（29）', '乘坐感受还可以（23）', '动力十足（18）', '后备厢空间大（14）', '内饰质感不错（13）', '驾驶体验良好（10）', '静谧性强（7）', '离地间隙表现好（6）', '油耗低（6）', '外观时尚（5）', '辅助驾驶功能多（5）', '后排地台隆起（5）', '油耗高（4）', '有异响（4）', '配置鸡肋（3）', '后排空间小（2）', '发动机噪音明显（2）', '动力响应不灵敏（2）', '内饰材质较差（1）', '第三排狭小（1）', '隔音差（1）', '风噪大（1）', '城市油耗高（1）']"
启辰,启辰星,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b0b6cc8b5a444a168d223471447a26dc~tplv-resize:640:0.png,75,9.66,11.96,东风日产,461,紧凑型SUV,汽油,2022.11,3.69,4.14,3.54,3.56,4.12,3.60,3.56,3.34,"['整体空间出色（21）', '动力十足（6）', '内饰质感不错（5）', '后备厢空间大（4）', '后排空间大（4）', '乘坐感受还可以（4）', '配置丰富（4）', '内饰豪华（3）', '变速箱换挡顺畅（3）', '内饰好看（3）', '动力中规中矩（4）', '油耗一般（3）', '动力不足（4）', '变速箱换挡顿挫（3）', '油耗高（2）', '空间灵活性较差（1）', '悬挂表现不理想（1）', '有异响（1）', '外观做工较差（1）', '车机卡顿严重（1）', '故障率高（1）', '配置鸡肋（1）', '配置低（1）', '发动机噪音明显（1）']"
欧拉,欧拉芭蕾猫,https://p3-dcd.byteimg.com/img/motor-mis-img/0bedfedf47aa941755f9ae70f4b0233b~tplv-resize:640:0.png,74,14.59,17.59,长城汽车,462,紧凑型车,纯电动,2023.04,3.68,4.10,3.73,3.74,3.47,3.70,3.45,3.58,"['整体空间出色（9）', '内饰好看（6）', '乘坐感受还可以（5）', '外观时尚（5）', '动力十足（5）', '续航表现优秀（4）', '车机科技感强（3）', '配置丰富（3）', '动力响应灵敏（3）', '驾驶体验良好（3）', '后排空间大（2）', '辅助驾驶功能多（2）', '配置实用（2）', '动力输出平顺（2）', '后排地台平整（1）', '后排舒服（1）', '续航满足通勤（2）', '底盘调校偏软（3）', '后备厢空间小（1）', '风噪大（1）', '胎噪大（1）', '悬架跳动明显（1）', '悬挂表现不理想（1）', '配置低（1）']"
Polestar极星,Polestar 4,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/986fd027248b4db8929ffb4df7743387~tplv-resize:640:0.png,74,29.99,39.99,Polestar,463,中型SUV,纯电动,2023.11,-,-,-,-,-,-,-,-,"['驾驶体验良好（8）', '整体空间出色（6）', '操控出色（5）', '底盘调校好（4）', '悬架支撑性强（3）', '动力十足（3）', '内饰质感不错（2）', '续航表现优秀（2）', '外观大气（2）', '音响品质好（2）', '配置实用（2）', '后排舒服（1）', '静谧性强（1）', '内饰好看（1）', '尾部好看（1）', '外观拉风（1）', '天窗够大（1）', '人机工程不错（1）', '配置丰富（1）', '动力输出平顺（1）', '转向手感出色（1）', '内饰一般（1）', '车机功能简单（1）', '配置鸡肋（1）']"
