年月,排名,厂商,销量,占销量份额
2015-01,1,上汽大众,177483,8.28%
2015-01,2,一汽-大众,144203,6.73%
2015-01,3,上汽通用五菱,129608,6.05%
2015-01,4,北京现代,103319,4.82%
2015-01,5,上汽通用别克,90510,4.22%
2015-01,6,长安福特,83225,3.88%
2015-01,7,长城汽车,77530,3.62%
2015-01,8,进口标致,71632,3.34%
2015-01,9,上汽通用雪佛兰,67563,3.15%
2015-01,10,东风日产,67485,3.15%
2015-01,11,长城汽车,64285,3%
2015-01,12,长安汽车,60689,2.83%
2015-01,13,吉利汽车,58977,2.75%
2015-01,14,悦达起亚,56130,2.62%
2015-01,15,一汽-大众奥迪,47328,2.21%
2015-01,16,东风标致,44230,2.06%
2015-01,17,长安汽车,42856,2%
2015-01,18,比亚迪,42335,1.97%
2015-01,19,奇瑞汽车,35397,1.65%
2015-01,20,东风风行,35005,1.63%
2015-01,21,广汽本田,33777,1.58%
2015-01,22,上汽通用五菱,33216,1.55%
2015-01,23,广汽丰田,33024,1.54%
2015-01,24,江淮汽车,30706,1.43%
2015-01,25,一汽丰田,29888,1.39%
2015-01,26,华晨宝马,29793,1.39%
2015-01,27,上汽大众斯柯达,28195,1.32%
2015-01,28,东风雪铁龙,27079,1.26%
2015-01,29,东风本田,24659,1.15%
2015-01,30,东风小康,22324,1.04%
2015-01,31,北汽幻速,21259,0.99%
2015-01,32,众泰汽车,19612,0.91%
2015-01,33,北京奔驰,19022,0.89%
2015-01,34,一汽奔腾,18520,0.86%
2015-01,35,长安铃木,17645,0.82%
2015-01,36,北汽昌河,16971,0.79%
2015-01,37,长安马自达,15357,0.72%
2015-01,38,东风乘用车,14996,0.7%
2015-01,39,一汽海马,11394,0.53%
2015-01,40,广汽乘用车,10608,0.49%
2015-01,41,华晨中华,10047,0.47%
2015-01,42,天津一汽,9867,0.46%
2015-01,43,东风日产,9523,0.44%
2015-01,44,上汽集团,9321,0.43%
2015-01,45,海马汽车,9056,0.42%
2015-01,46,东风裕隆,9000,0.42%
2015-01,47,力帆汽车,8750,0.41%
2015-01,48,昌河铃木,8658,0.4%
2015-01,49,东南汽车,7884,0.37%
2015-01,50,长城汽车,7504,0.35%
2015-01,51,北京汽车,7365,0.34%
2015-01,52,华泰汽车,6458,0.3%
2015-01,53,鑫源汽车,6320,0.29%
2015-01,54,SWM斯威汽车,6320,0.29%
2015-01,55,一汽马自达,6041,0.28%
2015-01,56,广汽三菱,6007,0.28%
2015-01,57,莲花汽车,5412,0.25%
2015-01,58,东风小康,4483,0.21%
2015-01,59,绵阳金杯,4160,0.19%
2015-01,60,北汽昌河,3978,0.19%
2015-01,61,一汽吉林,3752,0.18%
2015-01,62,广汽菲克菲亚特,3554,0.17%
2015-01,63,上汽通用凯迪拉克,2725,0.13%
2015-01,64,上汽集团,2681,0.13%
2015-01,65,凯翼汽车,2660,0.12%
2015-01,66,江铃集团新能源,2280,0.11%
2015-01,67,江铃轻卡,2253,0.11%
2015-01,68,猎豹汽车,1988,0.09%
2015-01,69,DS汽车,1714,0.08%
2015-01,70,郑州日产,1385,0.06%
2015-01,71,福田汽车,1356,0.06%
2015-01,72,郑州日产,1354,0.06%
2015-01,73,上汽大通,1275,0.06%
2015-01,74,华晨雷诺,1164,0.05%
2015-01,75,开瑞汽车,1135,0.05%
2015-01,76,东风英菲尼迪,1088,0.05%
2015-01,77,东南三菱,1003,0.05%
2015-01,78,野马汽车,984,0.05%
2015-01,79,观致汽车,703,0.03%
2015-01,80,广汽本田,629,0.03%
2015-01,81,广汽吉奥,628,0.03%
2015-01,82,福汽新龙马,569,0.03%
2015-01,83,曙光汽车,542,0.03%
2015-01,84,北京越野,472,0.02%
2015-01,85,知豆电动车,408,0.02%
2015-01,86,中兴汽车,352,0.02%
2015-01,87,一汽欧朗,340,0.02%
2015-01,88,一汽红旗,283,0.01%
2015-01,89,奇瑞威麟,182,0.01%
2015-01,90,北京汽车制造厂,179,0.01%
2015-01,91,福建奔驰,138,0.01%
2015-01,92,陆风汽车,27,-
2015-01,93,哈飞汽车,9,-
2015-01,94,奇瑞瑞麒,4,-
2015-01,95,浙江永源,3,-
2015-02,1,上汽大众,141128,9.57%
2015-02,2,上汽通用五菱,109552,7.43%
2015-02,3,一汽-大众,81082,5.5%
2015-02,4,北京现代,74002,5.02%
2015-02,5,长安福特,60844,4.12%
2015-02,6,上汽通用别克,59098,4.01%
2015-02,7,长安汽车,58088,3.94%
2015-02,8,上汽通用雪佛兰,50319,3.41%
2015-02,9,长城汽车,44824,3.04%
2015-02,10,悦达起亚,44524,3.02%
2015-02,11,进口标致,43690,2.96%
2015-02,12,长城汽车,38592,2.62%
2015-02,13,长安汽车,38038,2.58%
2015-02,14,比亚迪,37112,2.52%
2015-02,15,吉利汽车,33233,2.25%
2015-02,16,一汽-大众奥迪,30559,2.07%
2015-02,17,东风日产,30554,2.07%
2015-02,18,一汽丰田,30094,2.04%
2015-02,19,上汽通用五菱,27842,1.89%
2015-02,20,东风标致,26631,1.81%
2015-02,21,江淮汽车,23786,1.61%
2015-02,22,奇瑞汽车,22919,1.55%
2015-02,23,广汽本田,21753,1.47%
2015-02,24,广汽丰田,19936,1.35%
2015-02,25,上汽大众斯柯达,19930,1.35%
2015-02,26,东风小康,19371,1.31%
2015-02,27,华晨宝马,18922,1.28%
2015-02,28,东风雪铁龙,17059,1.16%
2015-02,29,东风本田,15236,1.03%
2015-02,30,东风风行,14098,0.96%
2015-02,31,北汽幻速,13386,0.91%
2015-02,32,众泰汽车,12768,0.87%
2015-02,33,北京奔驰,12536,0.85%
2015-02,34,长安马自达,12172,0.83%
2015-02,35,北汽昌河,11190,0.76%
2015-02,36,华晨中华,9625,0.65%
2015-02,37,一汽海马,8388,0.57%
2015-02,38,一汽奔腾,8355,0.57%
2015-02,39,东风乘用车,7511,0.51%
2015-02,40,广汽乘用车,7382,0.5%
2015-02,41,力帆汽车,7237,0.49%
2015-02,42,长安铃木,7189,0.49%
2015-02,43,上汽集团,6998,0.47%
2015-02,44,华泰汽车,6466,0.44%
2015-02,45,昌河铃木,5747,0.39%
2015-02,46,海马汽车,5427,0.37%
2015-02,47,鑫源汽车,5406,0.37%
2015-02,48,SWM斯威汽车,5406,0.37%
2015-02,49,天津一汽,5175,0.35%
2015-02,50,东风日产,4801,0.33%
2015-02,51,东风小康,4775,0.32%
2015-02,52,绵阳金杯,4050,0.27%
2015-02,53,北京汽车,3894,0.26%
2015-02,54,莲花汽车,3605,0.24%
2015-02,55,上汽通用凯迪拉克,3593,0.24%
2015-02,56,长城汽车,3542,0.24%
2015-02,57,北汽昌河,3237,0.22%
2015-02,58,广汽三菱,2611,0.18%
2015-02,59,东南汽车,2367,0.16%
2015-02,60,东风裕隆,2352,0.16%
2015-02,61,一汽吉林,2150,0.15%
2015-02,62,一汽马自达,2147,0.15%
2015-02,63,江铃轻卡,2117,0.14%
2015-02,64,江铃集团新能源,2111,0.14%
2015-02,65,广汽菲克菲亚特,1971,0.13%
2015-02,66,上汽集团,1878,0.13%
2015-02,67,凯翼汽车,1434,0.1%
2015-02,68,DS汽车,1401,0.09%
2015-02,69,东南三菱,1021,0.07%
2015-02,70,华晨雷诺,1008,0.07%
2015-02,71,福田汽车,975,0.07%
2015-02,72,东风英菲尼迪,818,0.06%
2015-02,73,野马汽车,740,0.05%
2015-02,74,观致汽车,721,0.05%
2015-02,75,上汽大通,678,0.05%
2015-02,76,郑州日产,560,0.04%
2015-02,77,广汽吉奥,532,0.04%
2015-02,78,曙光汽车,524,0.04%
2015-02,79,福汽新龙马,487,0.03%
2015-02,80,开瑞汽车,475,0.03%
2015-02,81,知豆电动车,368,0.02%
2015-02,82,中兴汽车,210,0.01%
2015-02,83,一汽红旗,201,0.01%
2015-02,84,一汽欧朗,169,0.01%
2015-02,85,广汽本田,153,0.01%
2015-02,86,郑州日产,105,0.01%
2015-02,87,北京汽车制造厂,93,0.01%
2015-02,88,福建奔驰,84,0.01%
2015-02,89,北京越野,67,-
2015-02,90,奇瑞威麟,60,-
2015-02,91,猎豹汽车,38,-
2015-02,92,奇瑞瑞麒,3,-
2015-03,1,上汽通用五菱,143878,7.29%
2015-03,2,上汽大众,130573,6.61%
2015-03,3,北京现代,102553,5.19%
2015-03,4,一汽-大众,93057,4.71%
2015-03,5,上汽通用别克,78660,3.98%
2015-03,6,长安福特,74418,3.77%
2015-03,7,长安汽车,72441,3.67%
2015-03,8,长城汽车,70126,3.55%
2015-03,9,进口标致,64104,3.25%
2015-03,10,东风日产,64056,3.24%
2015-03,11,上汽通用雪佛兰,61024,3.09%
2015-03,12,长城汽车,59394,3.01%
2015-03,13,悦达起亚,54391,2.75%
2015-03,14,吉利汽车,49446,2.5%
2015-03,15,一汽丰田,46585,2.36%
2015-03,16,比亚迪,45826,2.32%
2015-03,17,一汽-大众奥迪,42822,2.17%
2015-03,18,广汽本田,39954,2.02%
2015-03,19,长安汽车,38723,1.96%
2015-03,20,奇瑞汽车,38506,1.95%
2015-03,21,东风标致,35038,1.77%
2015-03,22,上汽通用五菱,34359,1.74%
2015-03,23,江淮汽车,30064,1.52%
2015-03,24,东风雪铁龙,29066,1.47%
2015-03,25,广汽丰田,28561,1.45%
2015-03,26,东风本田,28505,1.44%
2015-03,27,东风风行,26668,1.35%
2015-03,28,上汽大众斯柯达,26434,1.34%
2015-03,29,东风小康,24412,1.24%
2015-03,30,华晨宝马,22742,1.15%
2015-03,31,众泰汽车,20120,1.02%
2015-03,32,北汽昌河,19929,1.01%
2015-03,33,北京奔驰,17377,0.88%
2015-03,34,北汽幻速,17189,0.87%
2015-03,35,长安马自达,14998,0.76%
2015-03,36,一汽奔腾,14950,0.76%
2015-03,37,长安铃木,13239,0.67%
2015-03,38,华晨中华,12505,0.63%
2015-03,39,北京汽车,12129,0.61%
2015-03,40,一汽马自达,10539,0.53%
2015-03,41,广汽乘用车,10025,0.51%
2015-03,42,东风乘用车,9305,0.47%
2015-03,43,东风日产,9099,0.46%
2015-03,44,一汽海马,8701,0.44%
2015-03,45,力帆汽车,7541,0.38%
2015-03,46,上汽集团,7518,0.38%
2015-03,47,昌河铃木,7456,0.38%
2015-03,48,海马汽车,7234,0.37%
2015-03,49,上汽通用凯迪拉克,6947,0.35%
2015-03,50,东风小康,6759,0.34%
2015-03,51,天津一汽,6577,0.33%
2015-03,52,长城汽车,5924,0.3%
2015-03,53,华泰汽车,5326,0.27%
2015-03,54,广汽三菱,5038,0.26%
2015-03,55,东风裕隆,4538,0.23%
2015-03,56,东南汽车,4354,0.22%
2015-03,57,绵阳金杯,4320,0.22%
2015-03,58,一汽吉林,3984,0.2%
2015-03,59,北汽昌河,3964,0.2%
2015-03,60,广汽菲克菲亚特,3851,0.2%
2015-03,61,凯翼汽车,3571,0.18%
2015-03,62,鑫源汽车,2662,0.13%
2015-03,63,SWM斯威汽车,2662,0.13%
2015-03,64,DS汽车,2642,0.13%
2015-03,65,江铃集团新能源,2382,0.12%
2015-03,66,江铃轻卡,2382,0.12%
2015-03,67,上汽集团,2263,0.11%
2015-03,68,东风英菲尼迪,2036,0.1%
2015-03,69,郑州日产,1435,0.07%
2015-03,70,福田汽车,1216,0.06%
2015-03,71,郑州日产,1208,0.06%
2015-03,72,开瑞汽车,1169,0.06%
2015-03,73,上汽大通,1162,0.06%
2015-03,74,知豆电动车,1151,0.06%
2015-03,75,野马汽车,1142,0.06%
2015-03,76,华晨雷诺,1076,0.05%
2015-03,77,观致汽车,1064,0.05%
2015-03,78,奇瑞威麟,849,0.04%
2015-03,79,曙光汽车,807,0.04%
2015-03,80,福汽新龙马,663,0.03%
2015-03,81,东南三菱,619,0.03%
2015-03,82,北京越野,531,0.03%
2015-03,83,福建奔驰,431,0.02%
2015-03,84,一汽欧朗,411,0.02%
2015-03,85,广汽吉奥,386,0.02%
2015-03,86,一汽红旗,359,0.02%
2015-03,87,广汽本田,261,0.01%
2015-03,88,北京汽车制造厂,184,0.01%
2015-03,89,腾势汽车,163,0.01%
2015-03,90,猎豹汽车,62,-
2015-03,91,中兴汽车,52,-
2015-03,92,华晨华颂,11,-
2015-03,93,浙江永源,2,-
2015-04,1,上汽通用五菱,121083,6.77%
2015-04,2,上汽大众,117765,6.58%
2015-04,3,北京现代,90188,5.04%
2015-04,4,一汽-大众,90126,5.04%
2015-04,5,长安福特,72579,4.06%
2015-04,6,东风日产,67958,3.8%
2015-04,7,长城汽车,67759,3.79%
2015-04,8,进口标致,63588,3.55%
2015-04,9,上汽通用别克,61487,3.44%
2015-04,10,长安汽车,60053,3.36%
2015-04,11,长城汽车,56196,3.14%
2015-04,12,悦达起亚,56006,3.13%
2015-04,13,一汽丰田,51410,2.87%
2015-04,14,广汽本田,48062,2.69%
2015-04,15,上汽通用雪佛兰,43460,2.43%
2015-04,16,一汽-大众奥迪,42084,2.35%
2015-04,17,吉利汽车,40390,2.26%
2015-04,18,东风标致,36580,2.04%
2015-04,19,广汽丰田,36055,2.01%
2015-04,20,比亚迪,32129,1.8%
2015-04,21,上汽通用五菱,31211,1.74%
2015-04,22,东风本田,30531,1.71%
2015-04,23,奇瑞汽车,30413,1.7%
2015-04,24,江淮汽车,27362,1.53%
2015-04,25,东风雪铁龙,27009,1.51%
2015-04,26,长安汽车,26575,1.49%
2015-04,27,上汽大众斯柯达,22326,1.25%
2015-04,28,华晨宝马,22310,1.25%
2015-04,29,东风风行,22258,1.24%
2015-04,30,众泰汽车,17673,0.99%
2015-04,31,东风小康,17038,0.95%
2015-04,32,北京奔驰,15776,0.88%
2015-04,33,北汽昌河,14144,0.79%
2015-04,34,一汽奔腾,13339,0.75%
2015-04,35,长安马自达,12006,0.67%
2015-04,36,北汽幻速,11609,0.65%
2015-04,37,力帆汽车,10771,0.6%
2015-04,38,东风日产,10749,0.6%
2015-04,39,华晨中华,10450,0.58%
2015-04,40,长安铃木,10232,0.57%
2015-04,41,广汽乘用车,8609,0.48%
2015-04,42,东风乘用车,8164,0.46%
2015-04,43,一汽马自达,7664,0.43%
2015-04,44,北京汽车,7420,0.41%
2015-04,45,东风小康,7158,0.4%
2015-04,46,一汽海马,6967,0.39%
2015-04,47,天津一汽,6523,0.36%
2015-04,48,上汽集团,5782,0.32%
2015-04,49,上汽集团,5700,0.32%
2015-04,50,长城汽车,5658,0.32%
2015-04,51,华泰汽车,5519,0.31%
2015-04,52,广汽三菱,5050,0.28%
2015-04,53,东南汽车,4682,0.26%
2015-04,54,海马汽车,4528,0.25%
2015-04,55,东风裕隆,3963,0.22%
2015-04,56,绵阳金杯,3915,0.22%
2015-04,57,鑫源汽车,3868,0.22%
2015-04,58,SWM斯威汽车,3868,0.22%
2015-04,59,一汽吉林,3524,0.2%
2015-04,60,广汽菲克菲亚特,3419,0.19%
2015-04,61,上汽通用凯迪拉克,3349,0.19%
2015-04,62,昌河铃木,3287,0.18%
2015-04,63,郑州日产,2897,0.16%
2015-04,64,东风英菲尼迪,2519,0.14%
2015-04,65,DS汽车,2472,0.14%
2015-04,66,北汽昌河,2279,0.13%
2015-04,67,郑州日产,1882,0.11%
2015-04,68,江铃集团新能源,1708,0.1%
2015-04,69,奇瑞威麟,1674,0.09%
2015-04,70,江铃轻卡,1537,0.09%
2015-04,71,凯翼汽车,1503,0.08%
2015-04,72,观致汽车,1301,0.07%
2015-04,73,上汽大通,1189,0.07%
2015-04,74,福田汽车,1154,0.06%
2015-04,75,知豆电动车,1131,0.06%
2015-04,76,野马汽车,1068,0.06%
2015-04,77,华晨雷诺,1068,0.06%
2015-04,78,开瑞汽车,937,0.05%
2015-04,79,福汽新龙马,814,0.05%
2015-04,80,郑州日产,771,0.04%
2015-04,81,曙光汽车,632,0.04%
2015-04,82,广汽吉奥,578,0.03%
2015-04,83,北京越野,576,0.03%
2015-04,84,福建奔驰,486,0.03%
2015-04,85,东南三菱,451,0.03%
2015-04,86,一汽红旗,307,0.02%
2015-04,87,广汽本田,290,0.02%
2015-04,88,北京汽车制造厂,190,0.01%
2015-04,89,一汽欧朗,183,0.01%
2015-04,90,陆风汽车,171,0.01%
2015-04,91,腾势汽车,131,0.01%
2015-04,92,猎豹汽车,68,-
2015-04,93,华晨华颂,60,-
2015-05,1,上汽大众,122076,7.11%
2015-05,2,上汽通用五菱,94656,5.51%
2015-05,3,一汽-大众,83480,4.86%
2015-05,4,北京现代,80022,4.66%
2015-05,5,上汽通用别克,72446,4.22%
2015-05,6,东风日产,71697,4.17%
2015-05,7,长安汽车,62801,3.66%
2015-05,8,长安福特,61597,3.59%
2015-05,9,进口标致,60634,3.53%
2015-05,10,长城汽车,57745,3.36%
2015-05,11,一汽丰田,55452,3.23%
2015-05,12,长城汽车,51456,3%
2015-05,13,广汽本田,50994,2.97%
2015-05,14,悦达起亚,49005,2.85%
2015-05,15,上汽通用雪佛兰,46228,2.69%
2015-05,16,一汽-大众奥迪,41760,2.43%
2015-05,17,吉利汽车,39079,2.28%
2015-05,18,广汽丰田,37068,2.16%
2015-05,19,比亚迪,34293,2%
2015-05,20,东风标致,34121,1.99%
2015-05,21,东风本田,32348,1.88%
2015-05,22,上汽通用五菱,30277,1.76%
2015-05,23,长安汽车,27624,1.61%
2015-05,24,东风雪铁龙,26509,1.54%
2015-05,25,江淮汽车,25704,1.5%
2015-05,26,奇瑞汽车,25304,1.47%
2015-05,27,华晨宝马,21995,1.28%
2015-05,28,上汽大众斯柯达,21932,1.28%
2015-05,29,东风风行,19100,1.11%
2015-05,30,东风小康,16160,0.94%
2015-05,31,北京奔驰,16107,0.94%
2015-05,32,北汽幻速,15953,0.93%
2015-05,33,北汽昌河,14625,0.85%
2015-05,34,众泰汽车,13916,0.81%
2015-05,35,一汽奔腾,11756,0.68%
2015-05,36,力帆汽车,11461,0.67%
2015-05,37,广汽乘用车,11069,0.64%
2015-05,38,长安铃木,10632,0.62%
2015-05,39,长安马自达,10519,0.61%
2015-05,40,华晨中华,10055,0.59%
2015-05,41,东风日产,9778,0.57%
2015-05,42,一汽马自达,7413,0.43%
2015-05,43,上汽集团,7237,0.42%
2015-05,44,东风小康,7073,0.41%
2015-05,45,东风乘用车,6451,0.38%
2015-05,46,广汽三菱,6006,0.35%
2015-05,47,海马汽车,5660,0.33%
2015-05,48,一汽海马,5572,0.32%
2015-05,49,天津一汽,5377,0.31%
2015-05,50,上汽集团,5275,0.31%
2015-05,51,北京汽车,4614,0.27%
2015-05,52,东风裕隆,4252,0.25%
2015-05,53,上汽通用凯迪拉克,4096,0.24%
2015-05,54,东南汽车,4092,0.24%
2015-05,55,华泰汽车,4003,0.23%
2015-05,56,昌河铃木,3759,0.22%
2015-05,57,DS汽车,3709,0.22%
2015-05,58,鑫源汽车,3677,0.21%
2015-05,59,SWM斯威汽车,3677,0.21%
2015-05,60,绵阳金杯,3600,0.21%
2015-05,61,长城汽车,2972,0.17%
2015-05,62,广汽菲克菲亚特,2896,0.17%
2015-05,63,东风英菲尼迪,2634,0.15%
2015-05,64,郑州日产,2083,0.12%
2015-05,65,北汽昌河,1931,0.11%
2015-05,66,一汽吉林,1785,0.1%
2015-05,67,凯翼汽车,1703,0.1%
2015-05,68,上汽大通,1537,0.09%
2015-05,69,野马汽车,1343,0.08%
2015-05,70,江铃集团新能源,1229,0.07%
2015-05,71,江铃轻卡,1195,0.07%
2015-05,72,知豆电动车,1079,0.06%
2015-05,73,观致汽车,1070,0.06%
2015-05,74,广汽吉奥,1055,0.06%
2015-05,75,华晨雷诺,924,0.05%
2015-05,76,东南三菱,916,0.05%
2015-05,77,郑州日产,881,0.05%
2015-05,78,福田汽车,816,0.05%
2015-05,79,奇瑞威麟,648,0.04%
2015-05,80,郑州日产,638,0.04%
2015-05,81,开瑞汽车,530,0.03%
2015-05,82,福汽新龙马,489,0.03%
2015-05,83,曙光汽车,437,0.03%
2015-05,84,猎豹汽车,365,0.02%
2015-05,85,广汽本田,268,0.02%
2015-05,86,一汽红旗,258,0.02%
2015-05,87,福建奔驰,244,0.01%
2015-05,88,北京越野,243,0.01%
2015-05,89,一汽欧朗,141,0.01%
2015-05,90,腾势汽车,117,0.01%
2015-05,91,北京汽车制造厂,53,-
2015-05,92,华晨华颂,49,-
2015-05,93,陆风汽车,34,-
2015-05,94,浙江永源,10,-
2015-06,1,上汽大众,112281,7.02%
2015-06,2,上汽通用五菱,94896,5.94%
2015-06,3,上汽通用别克,85018,5.32%
2015-06,4,长安福特,75746,4.74%
2015-06,5,东风日产,72843,4.56%
2015-06,6,一汽-大众,72615,4.54%
2015-06,7,长安汽车,60714,3.8%
2015-06,8,北京现代,60192,3.77%
2015-06,9,一汽丰田,56845,3.56%
2015-06,10,上汽通用雪佛兰,48207,3.02%
2015-06,11,进口标致,48138,3.01%
2015-06,12,广汽本田,48104,3.01%
2015-06,13,长城汽车,44639,2.79%
2015-06,14,长城汽车,41289,2.58%
2015-06,15,广汽丰田,38808,2.43%
2015-06,16,悦达起亚,37505,2.35%
2015-06,17,东风本田,36826,2.3%
2015-06,18,比亚迪,35704,2.23%
2015-06,19,一汽-大众奥迪,34982,2.19%
2015-06,20,吉利汽车,34021,2.13%
2015-06,21,东风标致,27129,1.7%
2015-06,22,上汽通用五菱,26084,1.63%
2015-06,23,华晨宝马,24028,1.5%
2015-06,24,江淮汽车,23565,1.47%
2015-06,25,北京奔驰,22216,1.39%
2015-06,26,奇瑞汽车,21073,1.32%
2015-06,27,东风雪铁龙,21009,1.31%
2015-06,28,上汽大众斯柯达,18664,1.17%
2015-06,29,长安汽车,15890,0.99%
2015-06,30,华晨中华,15758,0.99%
2015-06,31,长安马自达,13872,0.87%
2015-06,32,东风风行,13371,0.84%
2015-06,33,北汽幻速,13019,0.81%
2015-06,34,北汽昌河,12534,0.78%
2015-06,35,力帆汽车,12392,0.78%
2015-06,36,众泰汽车,12013,0.75%
2015-06,37,广汽乘用车,11338,0.71%
2015-06,38,东风小康,11315,0.71%
2015-06,39,东风日产,11069,0.69%
2015-06,40,一汽奔腾,8304,0.52%
2015-06,41,长安铃木,7789,0.49%
2015-06,42,一汽海马,6977,0.44%
2015-06,43,一汽马自达,6900,0.43%
2015-06,44,上汽集团,6265,0.39%
2015-06,45,广汽三菱,6018,0.38%
2015-06,46,上汽集团,5737,0.36%
2015-06,47,东风乘用车,5502,0.34%
2015-06,48,鑫源汽车,5350,0.33%
2015-06,49,SWM斯威汽车,5350,0.33%
2015-06,50,华泰汽车,5274,0.33%
2015-06,51,上汽通用凯迪拉克,4397,0.28%
2015-06,52,北京汽车,4275,0.27%
2015-06,53,东风小康,4259,0.27%
2015-06,54,东风裕隆,4095,0.26%
2015-06,55,天津一汽,3829,0.24%
2015-06,56,绵阳金杯,3780,0.24%
2015-06,57,昌河铃木,3528,0.22%
2015-06,58,东南汽车,3489,0.22%
2015-06,59,海马汽车,2786,0.17%
2015-06,60,东风英菲尼迪,2380,0.15%
2015-06,61,长城汽车,2129,0.13%
2015-06,62,一汽吉林,1939,0.12%
2015-06,63,北汽昌河,1924,0.12%
2015-06,64,DS汽车,1820,0.11%
2015-06,65,上汽大通,1744,0.11%
2015-06,66,广汽菲克菲亚特,1480,0.09%
2015-06,67,江铃集团新能源,1434,0.09%
2015-06,68,江铃轻卡,1434,0.09%
2015-06,69,凯翼汽车,1301,0.08%
2015-06,70,野马汽车,1221,0.08%
2015-06,71,开瑞汽车,999,0.06%
2015-06,72,观致汽车,885,0.06%
2015-06,73,福田汽车,835,0.05%
2015-06,74,知豆电动车,776,0.05%
2015-06,75,广汽吉奥,754,0.05%
2015-06,76,奇瑞威麟,723,0.05%
2015-06,77,华晨雷诺,715,0.04%
2015-06,78,福建奔驰,687,0.04%
2015-06,79,福汽新龙马,551,0.03%
2015-06,80,一汽欧朗,439,0.03%
2015-06,81,郑州日产,439,0.03%
2015-06,82,曙光汽车,392,0.02%
2015-06,83,一汽红旗,381,0.02%
2015-06,84,广汽本田,304,0.02%
2015-06,85,郑州日产,279,0.02%
2015-06,86,北京汽车制造厂,223,0.01%
2015-06,87,北京越野,214,0.01%
2015-06,88,东南三菱,185,0.01%
2015-06,89,郑州日产,163,0.01%
2015-06,90,腾势汽车,104,0.01%
2015-06,91,浙江永源,34,-
2015-06,92,华晨华颂,19,-
2015-06,93,猎豹汽车,4,-
2015-06,94,奇瑞瑞麒,1,-
2015-07,1,上汽大众,84797,6.33%
2015-07,2,上汽通用五菱,73238,5.47%
2015-07,3,一汽-大众,67480,5.04%
2015-07,4,一汽丰田,62333,4.65%
2015-07,5,上汽通用别克,61360,4.58%
2015-07,6,东风日产,55035,4.11%
2015-07,7,北京现代,54175,4.04%
2015-07,8,长安福特,51789,3.87%
2015-07,9,长安汽车,42279,3.16%
2015-07,10,长城汽车,41810,3.12%
2015-07,11,广汽本田,41703,3.11%
2015-07,12,长城汽车,38851,2.9%
2015-07,13,进口标致,37062,2.77%
2015-07,14,上汽通用五菱,34260,2.56%
2015-07,15,广汽丰田,34026,2.54%
2015-07,16,一汽-大众奥迪,33378,2.49%
2015-07,17,东风本田,30056,2.24%
2015-07,18,悦达起亚,30008,2.24%
2015-07,19,吉利汽车,29938,2.23%
2015-07,20,上汽通用雪佛兰,29302,2.19%
2015-07,21,比亚迪,24208,1.81%
2015-07,22,东风标致,23055,1.72%
2015-07,23,北京奔驰,22825,1.7%
2015-07,24,江淮汽车,22749,1.7%
2015-07,25,华晨宝马,22038,1.65%
2015-07,26,奇瑞汽车,21138,1.58%
2015-07,27,长安汽车,15583,1.16%
2015-07,28,上汽大众斯柯达,14906,1.11%
2015-07,29,东风雪铁龙,14007,1.05%
2015-07,30,东风风行,13008,0.97%
2015-07,31,长安马自达,12759,0.95%
2015-07,32,华晨中华,12614,0.94%
2015-07,33,广汽乘用车,12582,0.94%
2015-07,34,北汽幻速,12561,0.94%
2015-07,35,北汽昌河,10922,0.82%
2015-07,36,东风小康,10229,0.76%
2015-07,37,众泰汽车,10020,0.75%
2015-07,38,力帆汽车,9455,0.71%
2015-07,39,一汽奔腾,7138,0.53%
2015-07,40,长安铃木,6222,0.46%
2015-07,41,上汽集团,6154,0.46%
2015-07,42,上汽集团,5892,0.44%
2015-07,43,东风日产,5835,0.44%
2015-07,44,一汽马自达,5804,0.43%
2015-07,45,鑫源汽车,5651,0.42%
2015-07,46,SWM斯威汽车,5651,0.42%
2015-07,47,华泰汽车,5445,0.41%
2015-07,48,东风小康,5008,0.37%
2015-07,49,东风乘用车,4816,0.36%
2015-07,50,一汽海马,4420,0.33%
2015-07,51,上汽通用凯迪拉克,3923,0.29%
2015-07,52,东风裕隆,3783,0.28%
2015-07,53,绵阳金杯,3405,0.25%
2015-07,54,广汽三菱,3048,0.23%
2015-07,55,天津一汽,3008,0.22%
2015-07,56,东南汽车,2867,0.21%
2015-07,57,广汽菲克菲亚特,2603,0.19%
2015-07,58,北京汽车,2273,0.17%
2015-07,59,昌河铃木,2208,0.16%
2015-07,60,东风英菲尼迪,2133,0.16%
2015-07,61,一汽吉林,1996,0.15%
2015-07,62,海马汽车,1932,0.14%
2015-07,63,长城汽车,1879,0.14%
2015-07,64,野马汽车,1793,0.13%
2015-07,65,DS汽车,1743,0.13%
2015-07,66,上汽大通,1655,0.12%
2015-07,67,北汽昌河,1340,0.1%
2015-07,68,观致汽车,1230,0.09%
2015-07,69,凯翼汽车,1100,0.08%
2015-07,70,福汽新龙马,957,0.07%
2015-07,71,福田汽车,932,0.07%
2015-07,72,郑州日产,894,0.07%
2015-07,73,江铃集团新能源,831,0.06%
2015-07,74,江铃轻卡,831,0.06%
2015-07,75,广汽吉奥,741,0.06%
2015-07,76,华晨雷诺,646,0.05%
2015-07,77,郑州日产,632,0.05%
2015-07,78,郑州日产,561,0.04%
2015-07,79,奇瑞威麟,537,0.04%
2015-07,80,一汽红旗,525,0.04%
